relation_id,relation_type,src_text,tgt_text
rel_txtdoc_0_p1_23,CID,alpha-methyldopa,hypotensive
rel_txtdoc_0_p1_23,CID,alpha-methyldopa,congestive heart failure
rel_txtdoc_0_p1_23,CID,alpha-methyldopa,famotidine
rel_txtdoc_0_p1_23,CID,lithium,hypotensive
rel_txtdoc_0_p1_23,CID,lithium,congestive heart failure
rel_txtdoc_0_p1_23,CID,lithium,famotidine
rel_txtdoc_0_p1_23,CID,famotidine,hypotensive
rel_txtdoc_0_p1_23,CID,famotidine,congestive heart failure
rel_txtdoc_0_p1_23,CID,famotidine,famotidine
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,hypotensive
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,congestive heart failure
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,famotidine
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,clonidine
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,neurologic depression
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,nalozone
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,atrial flutter
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,delirium
rel_txtdoc_0_p1_24,CID,[3H]-naloxone,hypotensive
rel_txtdoc_0_p1_24,CID,[3H]-naloxone,congestive heart failure
rel_txtdoc_0_p1_24,CID,[3H]-naloxone,famotidine
rel_txtdoc_0_p1_24,CID,Lithium carbonate,hypotensive
rel_txtdoc_0_p1_24,CID,Lithium carbonate,congestive heart failure
rel_txtdoc_0_p1_24,CID,Lithium carbonate,famotidine
rel_txtdoc_0_p1_24,CID,[3H]-naloxone,clonidine
rel_txtdoc_0_p1_24,CID,[3H]-naloxone,neurologic depression
rel_txtdoc_0_p1_24,CID,Lithium carbonate,clonidine
rel_txtdoc_0_p1_24,CID,Lithium carbonate,neurologic depression
rel_txtdoc_0_p1_24,CID,[3H]-naloxone,nalozone
rel_txtdoc_0_p1_24,CID,[3H]-naloxone,atrial flutter
rel_txtdoc_0_p1_24,CID,[3H]-naloxone,delirium
rel_txtdoc_0_p1_24,CID,Lithium carbonate,nalozone
rel_txtdoc_0_p1_24,CID,Lithium carbonate,atrial flutter
rel_txtdoc_0_p1_24,CID,Lithium carbonate,delirium
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,hypotensive
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,congestive heart failure
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,famotidine
rel_txtdoc_0_p1_24,CID,lithium,hypotensive
rel_txtdoc_0_p1_24,CID,lithium,congestive heart failure
rel_txtdoc_0_p1_24,CID,lithium,famotidine
rel_txtdoc_0_p1_24,CID,famotidine,hypotensive
rel_txtdoc_0_p1_24,CID,famotidine,congestive heart failure
rel_txtdoc_0_p1_24,CID,famotidine,famotidine
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,clonidine
rel_txtdoc_0_p1_24,CID,alpha-methyldopa,neurologic depression
