dataset,stat_name,stat_value,description
BC5CDR,source_articles,1500,BC5CDR source corpus articles
ICBHI2017,source_recordings,920,ICBHI annotated respiratory recordings
ICBHI2017,source_resp_cycles,6898,ICBHI respiratory cycles
ICBHI2017,source_subjects,126,ICBHI subjects
generated_tables,AUD_EVT_rows,272717,Rows in AUD_EVT
generated_tables,AUD_META_rows,4048,Rows in AUD_META
generated_tables,AUD_QLT_rows,4048,Rows in AUD_QLT
generated_tables,AUD_SEG_rows,265827,Rows in AUD_SEG
generated_tables,CASE_META_rows,2831,Rows in CASE_META
generated_tables,EVAL_LAYER_rows,4,Rows in EVAL_LAYER
generated_tables,IMG_ATTR_rows,300,Rows in IMG_ATTR
generated_tables,IMG_FINDING_rows,300,Rows in IMG_FINDING
generated_tables,IMG_STRUCT_rows,300,Rows in IMG_STRUCT
generated_tables,MM_ALIGN_rows,2000,Rows in MM_ALIGN
generated_tables,PRM_INPUT_rows,3,Rows in PRM_INPUT
generated_tables,PRM_OUTPUT_rows,3,Rows in PRM_OUTPUT
generated_tables,PRM_TOOL_rows,3,Rows in PRM_TOOL
generated_tables,RSN_GRAPH_rows,3,Rows in RSN_GRAPH
generated_tables,TXT_ASSERT_rows,29271,Rows in TXT_ASSERT
generated_tables,TXT_DEP_rows,345513,Rows in TXT_DEP
generated_tables,TXT_DOC_rows,3000,Rows in TXT_DOC
generated_tables,TXT_LEMMA_rows,345513,Rows in TXT_LEMMA
generated_tables,TXT_NER_rows,29271,Rows in TXT_NER
generated_tables,TXT_NORM_rows,29562,Rows in TXT_NORM
generated_tables,TXT_POS_rows,345513,Rows in TXT_POS
generated_tables,TXT_REL_rows,36597,Rows in TXT_REL
generated_tables,TXT_SEG_rows,345513,Rows in TXT_SEG
generated_tables,TXT_TOPIC_rows,3000,Rows in TXT_TOPIC
