s,type
https://example.org/medical-multimodal-kg/Case,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/TextDocument,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/Token,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/Mention,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/Concept,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/TextRelation,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/AudioRecord,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/AudioSegment,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/AudioEvent,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/QualityAnnotation,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/ImageRecord,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/ImageRegion,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/ImageMask,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/ImageFinding,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/ImageAttribute,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/MultimodalAlignment,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/Prompt,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/ToolCall,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/AgentOutput,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/ReasoningClaim,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/EvaluationMetric,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/DatasetStat,http://www.w3.org/2000/01/rdf-schema#Class
https://example.org/medical-multimodal-kg/case/case_bc5cdr_0,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_25,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_37,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_82,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_99,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_212,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_235,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_253,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_282,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_357,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_387,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_427,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_476,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_524,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_558,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_597,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_651,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_690,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_704,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_733,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_753,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_800,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_840,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_889,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_915,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_1037,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_1109,https://example.org/medical-multimodal-kg/Case
https://example.org/medical-multimodal-kg/case/case_bc5cdr_1131,https://example.org/medical-multimodal-kg/Case
