finding_id,size,severity,area_ratio,bbox
finding_img_cxr_000000_pneumonia_label,bilateral_lung_roi,normal,0.3938633402176544,"{""height"": 1343, ""width"": 1528, ""x"": 281, ""y"": 304}"
finding_img_cxr_000001_pneumonia_label,bilateral_lung_roi,normal,0.39020379160806373,"{""height"": 831, ""width"": 1036, ""x"": 193, ""y"": 189}"
finding_img_cxr_000002_pneumonia_label,bilateral_lung_roi,normal,0.3908897570447768,"{""height"": 1035, ""width"": 1320, ""x"": 245, ""y"": 235}"
finding_img_cxr_000003_pneumonia_label,bilateral_lung_roi,normal,0.39085309811145336,"{""height"": 923, ""width"": 1180, ""x"": 219, ""y"": 210}"
finding_img_cxr_000004_pneumonia_label,bilateral_lung_roi,normal,0.3893666666666667,"{""height"": 812, ""width"": 1165, ""x"": 218, ""y"": 185}"
finding_img_cxr_000005_pneumonia_label,bilateral_lung_roi,normal,0.3887598504913027,"{""height"": 942, ""width"": 1436, ""x"": 269, ""y"": 215}"
finding_img_cxr_000006_pneumonia_label,bilateral_lung_roi,normal,0.3902875188001013,"{""height"": 732, ""width"": 1114, ""x"": 207, ""y"": 166}"
finding_img_cxr_000007_pneumonia_label,bilateral_lung_roi,normal,0.393208463973134,"{""height"": 843, ""width"": 1012, ""x"": 186, ""y"": 191}"
finding_img_cxr_000008_pneumonia_label,bilateral_lung_roi,normal,0.39007354714251263,"{""height"": 825, ""width"": 1057, ""x"": 197, ""y"": 188}"
finding_img_cxr_000009_pneumonia_label,bilateral_lung_roi,normal,0.38834511882907874,"{""height"": 716, ""width"": 1068, ""x"": 200, ""y"": 163}"
finding_img_cxr_000010_pneumonia_label,bilateral_lung_roi,normal,0.39346004100315374,"{""height"": 1142, ""width"": 1260, ""x"": 232, ""y"": 259}"
finding_img_cxr_000011_pneumonia_label,bilateral_lung_roi,normal,0.3915390001878704,"{""height"": 754, ""width"": 982, ""x"": 182, ""y"": 171}"
finding_img_cxr_000012_pneumonia_label,bilateral_lung_roi,normal,0.3926650312034082,"{""height"": 891, ""width"": 846, ""x"": 155, ""y"": 204}"
finding_img_cxr_000013_pneumonia_label,bilateral_lung_roi,normal,0.3913678398240659,"{""height"": 1048, ""width"": 1270, ""x"": 235, ""y"": 239}"
finding_img_cxr_000014_pneumonia_label,bilateral_lung_roi,normal,0.3928837592041269,"{""height"": 1392, ""width"": 1562, ""x"": 288, ""y"": 316}"
finding_img_cxr_000015_pneumonia_label,bilateral_lung_roi,normal,0.3894684808908083,"{""height"": 834, ""width"": 1162, ""x"": 217, ""y"": 190}"
finding_img_cxr_000016_pneumonia_label,bilateral_lung_roi,normal,0.3928356937041675,"{""height"": 1425, ""width"": 1536, ""x"": 283, ""y"": 324}"
finding_img_cxr_000017_pneumonia_label,bilateral_lung_roi,normal,0.38989767978094825,"{""height"": 831, ""width"": 1124, ""x"": 209, ""y"": 189}"
finding_img_cxr_000018_pneumonia_label,bilateral_lung_roi,normal,0.38982498370192065,"{""height"": 834, ""width"": 1106, ""x"": 206, ""y"": 190}"
finding_img_cxr_000019_pneumonia_label,bilateral_lung_roi,normal,0.3894598980724881,"{""height"": 818, ""width"": 1174, ""x"": 219, ""y"": 186}"
finding_img_cxr_000020_pneumonia_label,bilateral_lung_roi,normal,0.390791922982933,"{""height"": 1038, ""width"": 1344, ""x"": 250, ""y"": 236}"
finding_img_cxr_000021_pneumonia_label,bilateral_lung_roi,normal,0.3918794524933963,"{""height"": 873, ""width"": 1086, ""x"": 201, ""y"": 198}"
finding_img_cxr_000022_pneumonia_label,bilateral_lung_roi,normal,0.3908198531558746,"{""height"": 548, ""width"": 724, ""x"": 135, ""y"": 124}"
finding_img_cxr_000023_pneumonia_label,bilateral_lung_roi,normal,0.38983605131550336,"{""height"": 948, ""width"": 1275, ""x"": 238, ""y"": 216}"
finding_img_cxr_000024_pneumonia_label,bilateral_lung_roi,normal,0.3914496400307978,"{""height"": 1032, ""width"": 1286, ""x"": 238, ""y"": 235}"
finding_img_cxr_000025_pneumonia_label,bilateral_lung_roi,normal,0.3877036622131431,"{""height"": 583, ""width"": 874, ""x"": 164, ""y"": 133}"
finding_img_cxr_000026_pneumonia_label,bilateral_lung_roi,normal,0.3926978867613724,"{""height"": 1241, ""width"": 1440, ""x"": 266, ""y"": 282}"
finding_img_cxr_000027_pneumonia_label,bilateral_lung_roi,normal,0.39207230876872334,"{""height"": 858, ""width"": 1120, ""x"": 207, ""y"": 194}"
