#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=webanno.custom.GuitarEntity|bridge_type|component_id|control_type|guitar_id|pickup_type|position|value
#T_SP=webanno.custom.Paragraph|kind
#T_RL=webanno.custom.HasPart|value|BT_webanno.custom.GuitarEntity


#Text=Squier Paranormal Super-Sonic
#Text=
#Text=Squier Paranormal Super-Sonic имеет компактный корпус необычной формы и два хамбакера.
1-1	0-6	Squier	*	PROPN	*[1]	*[1]	*[1]	GTR009[1]	*[1]	*[1]	GUITAR[1]	heading[8]	_	_	
1-2	7-17	Paranormal	*	PROPN	*[1]	*[1]	*[1]	GTR009[1]	*[1]	*[1]	GUITAR[1]	heading[8]	_	_	
1-3	18-29	Super-Sonic	*	PROPN	*[1]	*[1]	*[1]	GTR009[1]	*[1]	*[1]	GUITAR[1]	heading[8]	_	_	
1-4	31-37	Squier	*	PROPN	*[2]	*[2]	*[2]	GTR009[2]	*[2]	*[2]	GUITAR[2]	body[9]	_	_	
1-5	38-48	Paranormal	*	PROPN	*[2]	*[2]	*[2]	GTR009[2]	*[2]	*[2]	GUITAR[2]	body[9]	_	_	
1-6	49-60	Super-Sonic	*	PROPN	*[2]	*[2]	*[2]	GTR009[2]	*[2]	*[2]	GUITAR[2]	body[9]	_	_	
1-7	61-66	имеет	*	VERB	_	_	_	_	_	_	_	body[9]	_	_	
1-8	67-77	компактный	*	ADJ	_	_	_	_	_	_	_	body[9]	_	_	
1-9	78-84	корпус	*	NOUN	_	_	_	_	_	_	_	body[9]	_	_	
1-10	85-94	необычной	*	ADJ	_	_	_	_	_	_	_	body[9]	_	_	
1-11	95-100	формы	*	NOUN	_	_	_	_	_	_	_	body[9]	_	_	
1-12	101-102	и	*	CCONJ	_	_	_	_	_	_	_	body[9]	_	_	
1-13	103-106	два	*	NUM	*[3]	GTR009\_PICKUP\_group\_all[3]	*[3]	*[3]	humbucker[3]	unknown[3]	PICKUP[3]	body[9]	HAS\_PART	1-4[2_3]	
1-14	107-116	хамбакера	*	NOUN	*[3]	GTR009\_PICKUP\_group\_all[3]	*[3]	*[3]	humbucker[3]	unknown[3]	PICKUP[3]	body[9]	_	_	
1-15	116-117	.	*	PUNCT	_	_	_	_	_	_	_	body[9]	_	_	

#Text=На фотографии представлена голубая версия с блестящей отделкой.
2-1	118-120	На	*	ADP	_	_	_	_	_	_	_	body[9]	_	_	
2-2	121-131	фотографии	*	NOUN	_	_	_	_	_	_	_	body[9]	_	_	
