doc_id	landmark_id	mention_id	start_char	end_char	surface	entity_type	entity_id	date_iso	note
doc_land_ermitage_01	land_ermitage	m01	0	23	Государственный Эрмитаж	LANDMARK	land_ermitage		
doc_land_ermitage_01	land_ermitage	m02	44	60	Санкт-Петербурга	PLACE	plc_spb		
doc_land_ermitage_01	land_ermitage	m03	108	123	основания музея	EVENT	evt_eremitage_found_1764		
doc_land_ermitage_01	land_ermitage	m04	134	138	1764	DATE		1764	
doc_land_ermitage_01	land_ermitage	m05	-1	-1	evt_hermitage_fire_1837	EVENT	evt_hermitage_fire_1837		event inferred by manual baseline; exact span not found
doc_land_ermitage_02	land_ermitage	m01	15	25	Ленинграда	PLACE	plc_spb		
doc_land_ermitage_02	land_ermitage	m02	26	33	Эрмитаж	LANDMARK	land_ermitage		
doc_land_ermitage_02	land_ermitage	m03	-1	-1	evt_eremitage_found_1764	EVENT	evt_eremitage_found_1764		event inferred by manual baseline; exact span not found
doc_land_peterpaul_01	land_peterpaul	m01	0	24	Петропавловская крепость	LANDMARK	land_peterpaul		
doc_land_peterpaul_01	land_peterpaul	m02	42	57	Заячьем острове	PLACE	plc_zayachy_island		
doc_land_peterpaul_01	land_peterpaul	m03	58	74	27 мая 1703 года	DATE		1703-05-27	
doc_land_peterpaul_01	land_peterpaul	m04	65	74	1703 года	EVENT	evt_city_founded_1703		
doc_land_peterpaul_01	land_peterpaul	m05	123	139	Санкт-Петербурга	PLACE	plc_spb		
doc_land_peterpaul_01	land_peterpaul	m06	-1	-1	evt_siege_leningrad_1941_1944	EVENT	evt_siege_leningrad_1941_1944		event inferred by manual baseline; exact span not found
doc_land_peterpaul_02	land_peterpaul	m01	95	99	1706	DATE		1706	
doc_land_peterpaul_02	land_peterpaul	m02	160	184	Петропавловская крепость	LANDMARK	land_peterpaul		
doc_land_peterpaul_02	land_peterpaul	m03	-1	-1	evt_city_founded_1703	EVENT	evt_city_founded_1703		event inferred by manual baseline; exact span not found
doc_land_isaak_01	land_isaak	m01	0	18	Исаакиевский собор	LANDMARK	land_isaak		
doc_land_isaak_01	land_isaak	m02	93	109	Санкт-Петербурга	PLACE	plc_spb		
doc_land_isaak_01	land_isaak	m03	151	155	1858	DATE		1858	
doc_land_isaak_01	land_isaak	m04	151	155	1858	EVENT	evt_st_isaac_completed_1858		
doc_land_isaak_01	land_isaak	m05	159	163	1929	DATE		1929	
doc_land_isaak_02	land_isaak	m01	17	27	Ленинграда	PLACE	plc_spb		
doc_land_isaak_02	land_isaak	m02	28	46	Исаакиевский собор	LANDMARK	land_isaak		
doc_land_isaak_02	land_isaak	m03	-1	-1	evt_st_isaac_completed_1858	EVENT	evt_st_isaac_completed_1858		event inferred by manual baseline; exact span not found
doc_land_kazan_cathedral_01	land_kazan_cathedral	m01	0	15	Казанский собор	LANDMARK	land_kazan_cathedral		
doc_land_kazan_cathedral_01	land_kazan_cathedral	m02	18	33	Санкт-Петербург	PLACE	plc_spb		
doc_land_kazan_cathedral_01	land_kazan_cathedral	m03	50	59	1801-1811	DATE		1801/1811	
doc_land_kazan_cathedral_01	land_kazan_cathedral	m04	-1	-1	evt_kazan_victory_1812	EVENT	evt_kazan_victory_1812		event inferred by manual baseline; exact span not found
doc_land_kazan_cathedral_02	land_kazan_cathedral	m01	42	67	Отечественной войной 1812	EVENT	evt_kazan_victory_1812		
doc_land_kazan_cathedral_02	land_kazan_cathedral	m02	63	67	1812	DATE		1812	
doc_land_kazan_cathedral_02	land_kazan_cathedral	m03	76	80	1812	DATE		1812	
doc_land_kazan_cathedral_02	land_kazan_cathedral	m04	-1	-1	Казанский собор	LANDMARK	land_kazan_cathedral		primary landmark not found as exact span; needs manual offset check
doc_land_spilled_blood_01	land_spilled_blood	m01	0	20	Собор Спаса на Крови	LANDMARK	land_spilled_blood		
doc_land_spilled_blood_01	land_spilled_blood	m02	48	65	канала Грибоедова	PLACE	plc_griboedov_canal		
doc_land_spilled_blood_01	land_spilled_blood	m03	150	159	покушения	EVENT	evt_savior_blood_site_1881		
doc_land_spilled_blood_01	land_spilled_blood	m04	160	177	1 марта 1881 года	DATE		1881-03-01	
doc_land_spilled_blood_02	land_spilled_blood	m01	40	44	1883	DATE		1883	
doc_land_spilled_blood_02	land_spilled_blood	m02	-1	-1	evt_savior_blood_site_1881	EVENT	evt_savior_blood_site_1881		event inferred by manual baseline; exact span not found
doc_land_spilled_blood_02	land_spilled_blood	m03	-1	-1	Собор Воскресения Христова (Спас на Крови)	LANDMARK	land_spilled_blood		primary landmark not found as exact span; needs manual offset check
doc_land_peterhof_palace_01	land_peterhof_palace	m01	17	37	Петергофского дворца	LANDMARK	land_peterhof_palace		
doc_land_peterhof_palace_01	land_peterhof_palace	m02	17	25	Петергоф	PLACE	plc_petergof		
doc_land_peterhof_palace_01	land_peterhof_palace	m03	49	53	1714	DATE		1714	
doc_land_peterhof_palace_01	land_peterhof_palace	m04	49	58	1714 году	EVENT	evt_peterhof_founded_1714		
doc_land_peterhof_palace_01	land_peterhof_palace	m05	-1	-1	evt_peterhof_destroy_ww2_1944	EVENT	evt_peterhof_destroy_ww2_1944		event inferred by manual baseline; exact span not found
doc_land_peterhof_palace_02	land_peterhof_palace	m01	35	47	разрушениями	EVENT	evt_peterhof_destroy_ww2_1944		
doc_land_peterhof_palace_02	land_peterhof_palace	m02	193	197	1940	DATE		1940	
doc_land_peterhof_palace_02	land_peterhof_palace	m03	231	251	Петергофского дворца	LANDMARK	land_peterhof_palace		
doc_land_peterhof_palace_02	land_peterhof_palace	m04	231	239	Петергоф	PLACE	plc_petergof		
doc_land_peterhof_palace_02	land_peterhof_palace	m05	-1	-1	evt_peterhof_founded_1714	EVENT	evt_peterhof_founded_1714		event inferred by manual baseline; exact span not found
doc_land_catherine_palace_01	land_catherine_palace	m01	0	21	Екатерининский дворец	LANDMARK	land_catherine_palace		
doc_land_catherine_palace_01	land_catherine_palace	m02	24	36	Царском Селе	PLACE	plc_tsarskoe		
doc_land_catherine_palace_01	land_catherine_palace	m03	172	196	перестройками XVIII века	EVENT	evt_tsarskoye_palace_1752		
