doc_id,landmark_id,language,source,license,text_relpath,audio_ids,image_ids
doc_land_ermitage_01,land_ermitage,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_ermitage_01.txt,aud_ermitage_01,img_ermitage_01;img_ermitage_02;img_ermitage_03
doc_land_ermitage_02,land_ermitage,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_ermitage_02.txt,aud_ermitage_02,img_ermitage_01;img_ermitage_02;img_ermitage_03
doc_land_peterpaul_01,land_peterpaul,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_peterpaul_01.txt,aud_peterpaul_01,img_peterpaul_01;img_peterpaul_02;img_peterpaul_03
doc_land_peterpaul_02,land_peterpaul,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_peterpaul_02.txt,aud_peterpaul_02,img_peterpaul_01;img_peterpaul_02;img_peterpaul_03
doc_land_isaak_01,land_isaak,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_isaak_01.txt,aud_isaak_01,img_isaak_01;img_isaak_02;img_isaak_03
doc_land_isaak_02,land_isaak,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_isaak_02.txt,aud_isaak_02,img_isaak_01;img_isaak_02;img_isaak_03
doc_land_kazan_cathedral_01,land_kazan_cathedral,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_kazan_cathedral_01.txt,aud_kazan_cathedral_01,img_kazan_cathedral_01;img_kazan_cathedral_02;img_kazan_cathedral_03
doc_land_kazan_cathedral_02,land_kazan_cathedral,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_kazan_cathedral_02.txt,aud_kazan_cathedral_02,img_kazan_cathedral_01;img_kazan_cathedral_02;img_kazan_cathedral_03
doc_land_spilled_blood_01,land_spilled_blood,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_spilled_blood_01.txt,aud_spilled_blood_01,img_spilled_blood_01;img_spilled_blood_02;img_spilled_blood_03
doc_land_spilled_blood_02,land_spilled_blood,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_spilled_blood_02.txt,aud_spilled_blood_02,img_spilled_blood_01;img_spilled_blood_02;img_spilled_blood_03
doc_land_peterhof_palace_01,land_peterhof_palace,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_peterhof_palace_01.txt,aud_peterhof_palace_01,img_peterhof_palace_01;img_peterhof_palace_02;img_peterhof_palace_03
doc_land_peterhof_palace_02,land_peterhof_palace,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_peterhof_palace_02.txt,aud_peterhof_palace_02,img_peterhof_palace_01;img_peterhof_palace_02;img_peterhof_palace_03
doc_land_catherine_palace_01,land_catherine_palace,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_catherine_palace_01.txt,aud_catherine_palace_01,img_catherine_palace_01;img_catherine_palace_02;img_catherine_palace_03
doc_land_catherine_palace_02,land_catherine_palace,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_catherine_palace_02.txt,aud_catherine_palace_02,img_catherine_palace_01;img_catherine_palace_02;img_catherine_palace_03
doc_land_bronze_horseman_01,land_bronze_horseman,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_bronze_horseman_01.txt,aud_bronze_horseman_01,img_bronze_horseman_01;img_bronze_horseman_02;img_bronze_horseman_03
doc_land_bronze_horseman_02,land_bronze_horseman,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_bronze_horseman_02.txt,aud_bronze_horseman_02,img_bronze_horseman_01;img_bronze_horseman_02;img_bronze_horseman_03
doc_land_rostral_01,land_rostral,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_rostral_01.txt,aud_rostral_01,img_rostral_01;img_rostral_02;img_rostral_03
doc_land_rostral_02,land_rostral,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_rostral_02.txt,aud_rostral_02,img_rostral_01;img_rostral_02;img_rostral_03
doc_land_admiralty_01,land_admiralty,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_admiralty_01.txt,aud_admiralty_01,img_admiralty_01;img_admiralty_02;img_admiralty_03
doc_land_admiralty_02,land_admiralty,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_admiralty_02.txt,aud_admiralty_02,img_admiralty_01;img_admiralty_02;img_admiralty_03
doc_land_smolny_01,land_smolny,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_smolny_01.txt,aud_smolny_01,img_smolny_01;img_smolny_02;img_smolny_03
doc_land_smolny_02,land_smolny,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_smolny_02.txt,aud_smolny_02,img_smolny_01;img_smolny_02;img_smolny_03
doc_land_palace_square_01,land_palace_square,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_palace_square_01.txt,aud_palace_square_01,img_palace_square_01;img_palace_square_02;img_palace_square_03
doc_land_palace_square_02,land_palace_square,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_palace_square_02.txt,aud_palace_square_02,img_palace_square_01;img_palace_square_02;img_palace_square_03
doc_land_mariinsky_01,land_mariinsky,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_mariinsky_01.txt,aud_mariinsky_01,img_mariinsky_01;img_mariinsky_02;img_mariinsky_03
doc_land_mariinsky_02,land_mariinsky,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_mariinsky_02.txt,aud_mariinsky_02,img_mariinsky_01;img_mariinsky_02;img_mariinsky_03
doc_land_aurora_01,land_aurora,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_aurora_01.txt,aud_aurora_01,img_aurora_01;img_aurora_02;img_aurora_03
doc_land_aurora_02,land_aurora,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_aurora_02.txt,aud_aurora_02,img_aurora_01;img_aurora_02;img_aurora_03
doc_land_summer_garden_01,land_summer_garden,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_summer_garden_01.txt,aud_summer_garden_01,img_summer_garden_01;img_summer_garden_02;img_summer_garden_03;img_summer_garden_04
doc_land_summer_garden_02,land_summer_garden,ru,spb-events-dataset/user_enriched_corpus_v0.2,CC-BY-4.0,raw/text/doc_land_summer_garden_02.txt,aud_summer_garden_02,img_summer_garden_01;img_summer_garden_02;img_summer_garden_03;img_summer_garden_04
doc_example_001,land_aurora,ru,spb-events-dataset/mini_example_offsets,CC-BY-4.0,raw/text/doc_example_001.txt,,
