image_id,image_filename,image_abs_path,landmark_id,doc_ids,width,height,bbox_xywh,bbox_status,note
img_admiralty_01,Адмиралтейство 3.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Адмиралтейство 3.jpg,land_admiralty,doc_land_admiralty_01;doc_land_admiralty_02,1600,1068,"128,128,1344,812",auto_baseline_needs_review,
img_admiralty_02,Адмиралтейство-2.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Адмиралтейство-2.jpg,land_admiralty,doc_land_admiralty_01;doc_land_admiralty_02,1280,960,"102,115,1075,730",auto_baseline_needs_review,
img_admiralty_03,Адмиралтейство.jpeg,/Users/annaleo97/Desktop/СРОД/Фото города/Адмиралтейство.jpeg,land_admiralty,doc_land_admiralty_01;doc_land_admiralty_02,600,494,"48,59,504,375",auto_baseline_needs_review,
img_palace_square_01,Дворцовая площадь 1.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Дворцовая площадь 1.jpg,land_palace_square,doc_land_palace_square_01;doc_land_palace_square_02,1610,900,"129,108,1352,684",auto_baseline_needs_review,
img_palace_square_02,Дворцовая площадь 2.webp,/Users/annaleo97/Desktop/СРОД/Фото города/Дворцовая площадь 2.webp,land_palace_square,doc_land_palace_square_01;doc_land_palace_square_02,1000,667,"80,80,840,507",auto_baseline_needs_review,
img_palace_square_03,Дворцовая площадь 3.webp,/Users/annaleo97/Desktop/СРОД/Фото города/Дворцовая площадь 3.webp,land_palace_square,doc_land_palace_square_01;doc_land_palace_square_02,1300,866,"104,104,1092,658",auto_baseline_needs_review,
img_catherine_palace_01,Екатерининский дворец 1.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Екатерининский дворец 1.jpg,land_catherine_palace,doc_land_catherine_palace_01;doc_land_catherine_palace_02,800,533,"64,64,672,405",auto_baseline_needs_review,
img_catherine_palace_02,Екатерининский дворец 2.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Екатерининский дворец 2.jpg,land_catherine_palace,doc_land_catherine_palace_01;doc_land_catherine_palace_02,768,992,"61,119,645,754",auto_baseline_needs_review,
img_catherine_palace_03,Екатерининский дворец 3.jpeg,/Users/annaleo97/Desktop/СРОД/Фото города/Екатерининский дворец 3.jpeg,land_catherine_palace,doc_land_catherine_palace_01;doc_land_catherine_palace_02,276,183,"22,22,232,139",auto_baseline_needs_review,
img_isaak_01,Исааакиевский.jpeg,/Users/annaleo97/Desktop/СРОД/Фото города/Исааакиевский.jpeg,land_isaak,doc_land_isaak_01;doc_land_isaak_02,328,154,"26,18,276,117",auto_baseline_needs_review,
img_isaak_02,Исаакиевский 1.jpg,/Users/annaleo97/Desktop/СРОД/Фото города/Исаакиевский 1.jpg,land_isaak,doc_land_isaak_01;doc_land_isaak_02,800,600,"64,72,672,456",auto_baseline_needs_review,
