annotation_id,file_path,speaker,speaker_id,gender,device,command_file,text,intent,duration_sec,sample_rate,mfcc_mean,zero_crossing_rate,spectral_centroid,word_segments_json,vadu2019detected,annotation_tool,annotation_date
audio_000,audio/man/2/conditioner/автоматический_режим.ogg,man,2,male,conditioner,автоматический_режим,автоматический режим,change_mode,2.174,48000,-27.58,0.0539,2612.15,"[{""word"": ""автоматический"", ""start"": 0.0, ""end"": 1.342}, {""word"": ""режим"", ""start"": 1.342, ""end"": 2.709}]",True,Praat TextGrid,2025-04-15
audio_001,audio/man/2/conditioner/вентиляция.ogg,man,2,male,conditioner,вентиляция,вентиляция,change_mode,1.734,48000,-29.4,0.0642,3026.47,"[{""word"": ""вентиляция"", ""start"": 0.0, ""end"": 3.243}]",True,Praat TextGrid,2025-04-15
audio_002,audio/man/2/conditioner/включи_кондиционер.ogg,man,2,male,conditioner,включи_кондиционер,включи кондиционер,turn_on,2.014,48000,-24.0,0.0609,2664.21,"[{""word"": ""включи"", ""start"": 0.0, ""end"": 1.208}, {""word"": ""кондиционер"", ""start"": 1.208, ""end"": 2.433}]",True,Praat TextGrid,2025-04-15
audio_003,audio/man/2/conditioner/включи_через_час.ogg,man,2,male,conditioner,включи_через_час,включи через час,timer_on,1.974,48000,-28.78,0.0903,3426.27,"[{""word"": ""включи"", ""start"": 0.0, ""end"": 0.924}, {""word"": ""через"", ""start"": 0.924, ""end"": 1.768}, {""word"": ""час"", ""start"": 1.768, ""end"": 2.692}]",True,Praat TextGrid,2025-04-15
audio_004,audio/man/2/conditioner/выключи_кондиционер.ogg,man,2,male,conditioner,выключи_кондиционер,выключи кондиционер,turn_off,2.213,48000,-23.94,0.0596,2577.83,"[{""word"": ""выключи"", ""start"": 0.0, ""end"": 1.691}, {""word"": ""кондиционер"", ""start"": 1.691, ""end"": 3.357}]",True,Praat TextGrid,2025-04-15
audio_005,audio/man/2/conditioner/осуши_воздух.ogg,man,2,male,conditioner,осуши_воздух,осуши воздух,change_mode,2.014,48000,-31.03,0.0594,2677.32,"[{""word"": ""осуши"", ""start"": 0.0, ""end"": 1.58}, {""word"": ""воздух"", ""start"": 1.58, ""end"": 3.141}]",True,Praat TextGrid,2025-04-15
audio_006,audio/man/2/conditioner/режим_сна.ogg,man,2,male,conditioner,режим_сна,режим сна,change_mode,1.573,48000,-29.83,0.0556,2767.04,"[{""word"": ""режим"", ""start"": 0.0, ""end"": 1.591}, {""word"": ""сна"", ""start"": 1.591, ""end"": 3.207}]",True,Praat TextGrid,2025-04-15
audio_007,audio/man/2/conditioner/сделай_прохладнее.ogg,man,2,male,conditioner,сделай_прохладнее,сделай прохладнее,decrease_value,1.774,48000,-27.29,0.0419,2364.4,"[{""word"": ""сделай"", ""start"": 0.0, ""end"": 0.957}, {""word"": ""прохладнее"", ""start"": 0.957, ""end"": 1.893}]",True,Praat TextGrid,2025-04-15
audio_008,audio/man/2/conditioner/сделай_теплее.ogg,man,2,male,conditioner,сделай_теплее,сделай теплее,increase_value,1.734,48000,-24.79,0.0493,2352.81,"[{""word"": ""сделай"", ""start"": 0.0, ""end"": 1.372}, {""word"": ""теплее"", ""start"": 1.372, ""end"": 2.745}]",True,Praat TextGrid,2025-04-15
audio_009,audio/man/2/conditioner/установи_22_градуса.ogg,man,2,male,conditioner,установи_22_градуса,установи двадцать два градуса,set_value,2.534,48000,-26.91,0.0685,2675.14,"[{""word"": ""установи"", ""start"": 0.0, ""end"": 0.71}, {""word"": ""двадцать"", ""start"": 0.71, ""end"": 1.376}, {""word"": ""два"", ""start"": 1.376, ""end"": 2.098}, {""word"": ""градуса"", ""start"": 2.098, ""end"": 2.763}]",True,Praat TextGrid,2025-04-15
audio_010,audio/man/2/curtains/вечерний_режим.ogg,man,2,male,curtains,вечерний_режим,вечерний режим,change_mode,1.893,48000,-25.47,0.0418,2116.09,"[{""word"": ""вечерний"", ""start"": 0.0, ""end"": 1.325}, {""word"": ""режим"", ""start"": 1.325, ""end"": 2.666}]",True,Praat TextGrid,2025-04-15
audio_011,audio/man/2/curtains/добавь_света.ogg,man,2,male,curtains,добавь_света,добавь света,increase_value,1.734,48000,-27.82,0.0502,2502.42,"[{""word"": ""добавь"", ""start"": 0.0, ""end"": 1.042}, {""word"": ""света"", ""start"": 1.042, ""end"": 2.079}]",True,Praat TextGrid,2025-04-15
audio_012,audio/man/2/curtains/закрой_шторы.ogg,man,2,male,curtains,закрой_шторы,закрой шторы,turn_off,1.694,48000,-25.87,0.0433,2194.49,"[{""word"": ""закрой"", ""start"": 0.0, ""end"": 1.395}, {""word"": ""шторы"", ""start"": 1.395, ""end"": 2.842}]",True,Praat TextGrid,2025-04-15
