#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MinecraftObjects|ObjectSubtype|ObjectType


#Text=Так, но поскольку вода ближе всего тут, поэтому рядом с водой нет смысла делать выемку.
1-1	0-3	Так	*	ADV	так	_	_	
1-2	3-4	,	*	PUNCT	,	_	_	
1-3	5-7	но	*	CCONJ	но	_	_	
1-4	8-17	поскольку	*	SCONJ	поскольку	_	_	
1-5	18-22	вода	*	NOUN	вода	WATER	BLOCK	
1-6	23-28	ближе	*	ADJ	близкий	_	_	
1-7	29-34	всего	*	DET	весь	_	_	
1-8	35-38	тут	*	ADV	тут	_	_	
1-9	38-39	,	*	PUNCT	,	_	_	
1-10	40-47	поэтому	*	ADV	поэтому	_	_	
1-11	48-53	рядом	*	ADV	рядом	_	_	
1-12	54-55	с	*	ADP	с	_	_	
1-13	56-61	водой	*	NOUN	вода	WATER	BLOCK	
1-14	62-65	нет	*	AUX	нет	_	_	
1-15	66-72	смысла	*	NOUN	смысл	_	_	
1-16	73-79	делать	*	VERB	делать	_	_	
1-17	80-86	выемку	*	NOUN	выемка	ACTION	EVENT	
1-18	86-87	.	*	PUNCT	.	_	_	

#Text=Давайте её сделаем где-нибудь вот тут.
2-1	88-95	Давайте	*	VERB	давать	_	_	
2-2	96-98	её	*	PRON	она	_	_	
2-3	99-106	сделаем	*	VERB	делать	_	_	
2-4	107-117	где-нибудь	*	ADV	где-нибудь	_	_	
2-5	118-121	вот	*	ADV	вот	_	_	
2-6	122-125	тут	*	ADV	тут	_	_	
2-7	125-126	.	*	PUNCT	.	_	_	

#Text=И отсюда будем как раз-таки воду разносить.
3-1	127-128	И	*	CCONJ	и	_	_	
3-2	129-135	отсюда	*	ADV	отсюда	_	_	
3-3	136-141	будем	*	AUX	быть	_	_	
3-4	142-145	как	*	SCONJ	как	_	_	
3-5	146-154	раз-таки	*	ADV	раз-таки	_	_	
3-6	155-159	воду	*	NOUN	вода	WATER	BLOCK	
3-7	160-169	разносить	*	VERB	разносить	ACTION	EVENT	
3-8	169-170	.	*	PUNCT	.	_	_	

#Text=А, всё, у меня уже закончилась возможность бега.
4-1	171-172	А	*	CCONJ	а	_	_	
4-2	172-173	,	*	PUNCT	,	_	_	
4-3	174-177	всё	*	PRON	всё	_	_	
4-4	177-178	,	*	PUNCT	,	_	_	
4-5	179-180	у	*	ADP	у	_	_	
4-6	181-185	меня	*	PRON	я	_	_	
4-7	186-189	уже	*	ADV	уже	_	_	
4-8	190-201	закончилась	*	VERB	закончиться	_	_	
4-9	202-213	возможность	*	NOUN	возможность	_	_	
4-10	214-218	бега	*	NOUN	бег	RUN	EVENT	
4-11	218-219	.	*	PUNCT	.	_	_	

#Text=Ну, съедим последнюю еду тогда.
5-1	220-222	Ну	*	INTJ	ну	_	_	
5-2	222-223	,	*	PUNCT	,	_	_	
5-3	224-230	съедим	*	VERB	съесть	_	_	
5-4	231-240	последнюю	*	ADJ	последний	_	_	
5-5	241-244	еду	*	NOUN	еда	FOOD	ITEM	
5-6	245-250	тогда	*	ADV	тогда	_	_	
5-7	250-251	.	*	PUNCT	.	_	_	

#Text=Конечно, с двумя вёдрами было бы проще, но это перевод ресурсов, по сути в никуда.
6-1	252-259	Конечно	*	ADV	конечно	_	_	
6-2	259-260	,	*	PUNCT	,	_	_	
6-3	261-262	с	*	ADP	с	_	_	
6-4	263-268	двумя	*	NUM	два	_	_	
6-5	269-276	вёдрами	*	NOUN	ведро	TOOL	ITEM	
6-6	277-281	было	*	AUX	быть	_	_	
6-7	282-284	бы	*	PART	бы	_	_	
6-8	285-290	проще	*	ADJ	простой	_	_	
6-9	290-291	,	*	PUNCT	,	_	_	
6-10	292-294	но	*	CCONJ	но	_	_	
6-11	295-298	это	*	PRON	это	_	_	
6-12	299-306	перевод	*	NOUN	перевод	_	_	
6-13	307-315	ресурсов	*	NOUN	ресурс	_	_	
6-14	315-316	,	*	PUNCT	,	_	_	
6-15	317-319	по	*	ADP	по	_	_	
6-16	320-324	сути	*	NOUN	суть	_	_	
6-17	325-326	в	*	ADP	в	_	_	
6-18	327-333	никуда	*	ADV	никуда	_	_	
6-19	333-334	.	*	PUNCT	.	_	_	

#Text=Три железа всё-таки сейчас крайне важны.
7-1	335-338	Три	*	NUM	три	_	_	
7-2	339-345	железа	*	NOUN	железо	RESOURCE	ITEM	
7-3	346-354	всё-таки	*	ADV	всё-таки	_	_	
7-4	355-361	сейчас	*	ADV	сейчас	_	_	
7-5	362-368	крайне	*	ADV	крайне	_	_	
7-6	369-374	важны	*	ADJ	важный	_	_	
7-7	374-375	.	*	PUNCT	.	_	_	

#Text=Так, всё, бесконечный запас воды есть.
8-1	376-379	Так	*	ADV	так	_	_	
8-2	379-380	,	*	PUNCT	,	_	_	
8-3	381-384	всё	*	PRON	всё	_	_	
8-4	384-385	,	*	PUNCT	,	_	_	
8-5	386-397	бесконечный	*	ADJ	бесконечный	_	_	
