,ID  объявления,Количество комнат,Тип,Метро,"Время до метро, мин",Способ до метро,Город,Улица,Номер дома,Адрес,"Площадь, м2",Этаж,Кол-во этажей,Тип дома,Парковка,"Цена аренды, руб/мес",Ком платежи,Залог,Срок аренды,Телефоны,Описание,Ремонт,Балкон,Лоджия,Окна,Мебель на кухне,Мебель в комнатах,"Ванна,",Душевая кабина,Стиральная машина,Кондиционер,Посудомоечная машина,Телевизор,Холодильник,Интернет,Можно с животными,Можно с детьми,Название ЖК,"Высота потолков, м",Лифт пасс,Лифт груз,Мусоропровод,Ссылка на объявление
0,245898592,0,Квартира,м. Лиговский,7.0,пешком,Санкт-Петербург,Социалистическая улица,21,"Санкт-Петербург, Социалистическая улица, 21",20.0,3,10,Монолитно-кирпичный,подземная,32200.0,4800.0,30000.0,Длительный,79587702101,"Комфортные апартаменты STUDIO 19 м.кв.
Апартаменты с грамотной планировкой. В апартаментах есть спальня/гостиная, а кухня укомплектована бытовой техникой европейских производителей
Апарт-отель YES MARATA  многофункциональный комплекс апартаментов с богатой собственной инфраструктурой, который совместил в себе всё необходимое для комфортного проживания, работы и проведения досуга:

 Собственный ресторан
 Lobby bar
 Фитнес-центр
 Торговая галерея
 Бизнес центр
 Переговорные комнаты
 Спортивные и детские площадки
 Площадка для выгула собак
 Выставочное пространство
 Внутренняя экосистема
 Подземный паркинг

В пешей доступности от комплекса расположены три станции метро.

Апартаменты укомплектованы всей необходимой мебелью и бытовой техникой для комфортного проживания.

Возможно заключение договора с юридическими лицами
Указана цена по акции., 5 фото",Евроремонт,,,На улицу и двор,True,True,,True,True,,,True,True,True,True,True,YE’S Marata,2.9,3.0,3.0,True,https://www.cian.ru/rent/flat/245898592
1,251716893,0,Квартира,м. Бухарестская,1.0,пешком,Санкт-Петербург,улица Салова,61,"Санкт-Петербург, улица Салова, 61",25.1,16,18,Монолитный,наземная,29600.0,,29600.0,Длительный,79587736901,"Студия VALO
                Апартаменты без комиссии!
                Студия класса ""комфорт"" сдается в аренду на длительный срок. Апартаменты площадью 25 кв. м расположены в новом комплексе апарт-отелей VALO. Вся внутренняя отделка, текстиль и установленное оборудование соответствует стандарту европейских гостиниц уровня 3*и выше. Номер полностью укомплектован всей необходимой для жизни мебелью и бытовой техникой (в т. ч. микроволновая печь, плита, стиральная и посудомоечная машины, утюг, гладильная доска, сушилка). На кухне есть вся посуда для готовки и питания. В ванной комнате установлена немецкая сантехника. В номере система центрального кондиционирования. В стоимость аренды включена еженедельная уборка.
                Арендаторам доступны лобби отеля, переговорные и конференц-залы, бассейн и СПА фитнес клуба. В здании комплекса работают два ресторана, бар, кондитерская, салон красоты, барбершоп и аптека. В любое время можно воспользоваться ресепшен для решения вопросов различной ..., 20 фото",,1.0,1.0,,True,True,True,True,True,True,True,True,True,True,True,True,Доходные апартаменты VALO,2.5,1.0,1.0,,https://www.cian.ru/rent/flat/251716893
2,254788472,0,Квартира,м. Бухарестская,1.0,пешком,Санкт-Петербург,улица Салова,61,"Санкт-Петербург, улица Салова, 61",24.5,5,18,Монолитный,наземная,29600.0,,29600.0,Длительный,79587736901,"Студия VALO
                Апартаменты без комиссии!
                Студия класса ""комфорт"" сдается в аренду на длительный срок. Апартаменты площадью 25 кв. м расположены в новом комплексе апарт-отелей VALO. Вся внутренняя отделка, текстиль и установленное оборудование соответствует стандарту европейских гостиниц уровня 3*и выше. Номер полностью укомплектован всей необходимой для жизни мебелью и бытовой техникой (в т. ч. микроволновая печь, плита, стиральная и посудомоечная машины, утюг, гладильная доска, сушилка). На кухне есть вся посуда для готовки и питания. В ванной комнате установлена немецкая сантехника. В номере система центрального кондиционирования. В стоимость аренды включена еженедельная уборка.
                Арендаторам доступны лобби отеля, переговорные и конференц-залы, бассейн и СПА фитнес клуба. В здании комплекса работают два ресторана, бар, кондитерская, салон красоты, барбершоп и аптека. В любое время можно воспользоваться ресепшен для решения вопросов различной ..., 20 фото",,1.0,1.0,,True,True,True,True,True,True,True,True,True,True,True,True,Доходные апартаменты VALO,2.5,1.0,1.0,,https://www.cian.ru/rent/flat/254788472
3,229664813,0,Квартира,м. Бухарестская,1.0,пешком,Санкт-Петербург,улица Салова,61,"Санкт-Петербург, улица Салова, 61",28.9,7,18,Монолитный,наземная,31200.0,,31200.0,Длительный,79587736901,"Большая студия VALO Апартаменты без комиссии! 
            Студия полу люкс площадью 28 кв. м сдается в аренду на длительный срок. Комплекс апарт-отелей VALO -сочетание европейского дизайна с высоким уровнем качества. Внутренняя отделка помещения соответствует гостиничным стандартам. Широкие окна дают много света и открывают живописный вид на город. Качественный текстиль и шторы блэк аут (полное затемнение). Светлые тона оформления и продуманная схема освещения визуально расширяют пространство. В части номеров кухня отделена от спальни барной стойкой. Барная стойка может использоваться как дополнительное рабочее место. В номере есть вся мебель, бытовая техника (включая посудомоечную машину) и посуда для готовки. В ванной комнате установлены стиральная машина и немецкая сантехника. Центральное кондиционирование. Оборудовано отдельное рабочее место. В здании комплекса работает два ресторан, бар, аптека, кондитерская, барбершоп и салон красоты. Также работает фитнес клуб с бассейном и СПА ..., 24 фото",,1.0,1.0,,True,True,True,True,True,True,True,True,True,True,True,True,Доходные апартаменты VALO,2.5,1.0,1.0,,https://www.cian.ru/rent/flat/229664813
4,251716895,0,Квартира,м. Бухарестская,1.0,пешком,Санкт-Петербург,улица Салова,61,"Санкт-Петербург, улица Салова, 61",24.8,13,18,Монолитный,наземная,29600.0,,29600.0,Длительный,79587736901,"Студия VALO
                Апартаменты без комиссии!
                Студия класса ""комфорт"" сдается в аренду на длительный срок. Апартаменты площадью 23 кв. м расположены в новом комплексе апарт-отелей VALO. Вся внутренняя отделка, текстиль и установленное оборудование соответствует стандарту европейских гостиниц уровня 3*и выше. Номер полностью укомплектован всей необходимой для жизни мебелью и бытовой техникой (в т. ч. микроволновая печь, плита, стиральная и посудомоечная машины, утюг, гладильная доска, сушилка). На кухне есть вся посуда для готовки и питания. В ванной комнате установлена немецкая сантехника. В номере система центрального кондиционирования. В стоимость аренды включена еженедельная уборка.
                Арендаторам доступны лобби отеля, переговорные и конференц-залы, бассейн и СПА фитнес клуба. В здании комплекса работают два ресторана, бар, кондитерская, салон красоты, барбершоп и аптека. В любое время можно воспользоваться ресепшен для решения вопросов различной ..., 18 фото",,1.0,1.0,,True,True,True,True,True,True,True,True,True,True,True,True,Доходные апартаменты VALO,2.5,1.0,1.0,,https://www.cian.ru/rent/flat/251716895
5,251716888,0,Квартира,м. Бухарестская,1.0,пешком,Санкт-Петербург,улица Салова,61,"Санкт-Петербург, улица Салова, 61",23.5,17,18,Монолитный,наземная,29600.0,,29600.0,Длительный,79587736901,"Студия VALO
                Апартаменты без комиссии!
                Студия класса ""комфорт"" сдается в аренду на длительный срок. Апартаменты площадью 23 кв. м расположены в новом комплексе апарт-отелей VALO. Вся внутренняя отделка, текстиль и установленное оборудование соответствует стандарту европейских гостиниц уровня 3*и выше. Номер полностью укомплектован всей необходимой для жизни мебелью и бытовой техникой (в т. ч. микроволновая печь, плита, стиральная и посудомоечная машины, утюг, гладильная доска, сушилка). На кухне есть вся посуда для готовки и питания. В ванной комнате установлена немецкая сантехника. В номере система центрального кондиционирования. В стоимость аренды включена еженедельная уборка.
                Арендаторам доступны лобби отеля, переговорные и конференц-залы, бассейн и СПА фитнес клуба. В здании комплекса работают два ресторана, бар, кондитерская, салон красоты, барбершоп и аптека. В любое время можно воспользоваться ресепшен для решения вопросов различной ..., 22 фото",,1.0,1.0,,True,True,True,True,True,True,True,True,True,True,True,True,Доходные апартаменты VALO,2.5,1.0,1.0,,https://www.cian.ru/rent/flat/251716888
6,253953909,0,Квартира,м. Комендантский,10.0,на машине,Санкт-Петербург,проспект Королева,69,"Санкт-Петербург, проспект Королева, 69",27.0,14,19,Монолитный,,21000.0,2500.0,21000.0,Длительный,79587732847,"Арт. 232993 Предлагается в аренду на длительный срок квартира студия в Приморском районе, расположенная по адресу: пр-кт Королева д.69. В квартире сделан качественный, светлый ремонт. Есть всё необходимое для комфортного проживания, в том числе посуда, печь, стиральная машинка, ортопедический матрас. В коридоре стоит большой,вместительный шкаф. Совмещенный санузел в кафеле с большой угловой ванной. Развитая инфраструктура, рядом множество магазинов, ресторанов, в пешей доступности большие магазины Лента и Леруа Мерлен, удобная развязка общественного транспорта., 5 фото",,,1.0,,True,True,,,True,,,,True,True,,,Каменка,,1.0,1.0,,https://www.cian.ru/rent/flat/253953909
7,253482530,0,Квартира,м. Комендантский,10.0,на машине,Санкт-Петербург,Яхтенная улица,34,"Санкт-Петербург, Яхтенная улица, 34",25.0,17,24,Монолитно-кирпичный,,23000.0,2500.0,23000.0,Длительный,79587732847,"Арт. 232343 Сдается уютная видовая студия с кроватью, а не диваном, что редкость на рынке. Новый дом комфорт-класса с закрытой территорией и службой охраны. За счет расположения тут нет проблем с парковкой авто, как в других частях района. Прямо напротив дома гипермаркет Окей, что сэкономит кучу времени и денег на покупке продуктов. Сама квартира имеет квадратную форму за счет чего она воспринимается просторнее, чем аналогичные по площади, но вытянутые студии. Также форма квартиры позволила разместить полноценную мягкую кровать без ущерба пространству, что вкупе со шторами блэкаут  подарит вам действительно хороший сон и, как следствие, бОльшую продуктивность в течение дня. Квартира выполнена в спокойном скандинавском стиле, ставшем уже синонимом уюта. Гигантский 5 метровый балкон с экополами станет любимым местом для вечернего релакса и любования закатами. Также есть вся необходимая техника и посуда. Успейте поселиться в комфортном жилье, звоните!, 10 фото",,,,,True,True,,,True,,,True,True,True,,,МореОкеан,,,,,https://www.cian.ru/rent/flat/253482530
8,251117401,0,Квартира,м. Черная,10.0,пешком,Санкт-Петербург,Ушаковская набережная,1к4,"Санкт-Петербург, Ушаковская набережная, 1к4",29.7,4,20,Монолитный,наземная,35000.0,4000.0,35000.0,Длительный,79587732847,"Арт. 229455 Предлагается в аренду студия в ЖК ""Riverside"" в пешей доступности от станции метро Черная речка. В квартире выполнен качественный ремонт, есть вся необходимая мебель и техника. Совмещенный санузел в кафеле с ванной. Застекленная лоджия. Развитая инфраструктура комплекса., 11 фото",,,1.0,,True,True,,,True,,,True,True,True,,,Riverside,,1.0,1.0,,https://www.cian.ru/rent/flat/251117401
9,241099436,0,Квартира,м. Бухарестская,1.0,пешком,Санкт-Петербург,улица Салова,61,"Санкт-Петербург, улица Салова, 61",25.2,14,18,Монолитный,наземная,29600.0,,29600.0,Длительный,79587736901,"Студия VALO
                Апартаменты без комиссии!
                Студия класса ""комфорт"" сдается в аренду на длительный срок. Апартаменты площадью 25 кв. м расположены в новом комплексе апарт-отелей VALO. Вся внутренняя отделка, текстиль и установленное оборудование соответствует стандарту европейских гостиниц уровня 3*и выше. Номер полностью укомплектован всей необходимой для жизни мебелью и бытовой техникой (в т. ч. микроволновая печь, плита, стиральная и посудомоечная машины, утюг, гладильная доска, сушилка). На кухне есть вся посуда для готовки и питания. В ванной комнате установлена немецкая сантехника. В номере система центрального кондиционирования. В стоимость аренды включена еженедельная уборка.
                Арендаторам доступны лобби отеля, переговорные и конференц-залы, бассейн и СПА фитнес клуба. В здании комплекса работают два ресторана, бар, кондитерская, салон красоты, барбершоп и аптека. В любое время можно воспользоваться ресепшен для решения вопросов различной ..., 20 фото",,1.0,1.0,,True,True,True,True,True,True,True,True,True,True,True,True,Доходные апартаменты VALO,2.5,1.0,1.0,,https://www.cian.ru/rent/flat/241099436
