GeneralTypeLens,Type,Focus_Length,Optic,Angle,Angle_DX,Max.Apecture,Min.Apecture,Bl
Fisheye ,F,6,9/6,220,220,5.6,22,6
Fisheye ,F-Ai,6,12/9,220,220,2.8,22,7
Fisheye ,Ai-S,6,12/9,220,220,2.8,22,7
Fisheye ,F,8,9/5,180,180,8,22,6
Fisheye ,F,7.5,9/6,180,180,5.6,22,6
Fisheye ,F-Ai,8,10/8,180,180,2.8,22,7
Fisheye ,Ai-S,8,10/8,180,180,2.8,22,7
Fisheye ,F,10,9/6,180,180,5.6,22,7
Fisheye ,F,16,8/5,170,101,3.5,22,7
Fisheye ,K-Ai,16,8/5,170,101,3.5,22,7
Fisheye ,Ai,16,8/5,170,101,3.5,22,7
Fisheye ,Ai,16,8/5,180,107,2.8,22,7
Fisheye ,Ai-S,16,8/5,180,107,2.8,22,7
Fisheye ,AF,16,8/5,180,107,2.8,22,7
13-18 ,K-Ai,13,16/12,118,93,5.6,22,7
13-18 ,Ai-S,13,16/12,118,93,5.6,22,7
13-18 ,AF,14,14/12,114,90,2.8,22,7
13-18 ,C,15,14/12,110,85,5.6,22,7
13-18 ,K-Ai,15,14/12,110,85,5.6,22,7
13-18 ,Ai,15,14/11,110,85,3.5,22,7
13-18 ,Ai-S,15,14/11,110,85,3.5,22,7
13-18 ,K-Ai,18,13/9,100,76,4,22,7
13-18 ,Ai,18,13/9,100,76,4,22,7
13-18 ,Ai-S,18,11/10,100,76,3.5,22,7
13-18 ,AF,18,13/10,100,76,2.8,22,7
20,F,20,11/9,94,71,3.5,22,7
20,K-Ai,20,10/8,94,71,4,22,7
20,Ai,20,11/8,94,71,3.5,22,7
20,Ai-S,20,11/8,94,71,3.5,22,7
20,Ai-S,20,12/9,94,71,2.8,22,7
20,AF,20,12/9,94,71,2.8,22,7
20,AF,20,12/9,94,71,2.8,22,7
20,AF-S,20,13/11,94,70,1.8,16,7r
20,F,25,7/?,81,59,3.5,22,6
24,F-C,24,9/7,84,61,2.8,16,6
24,K,24,9/7,84,61,2.8,22,7
24,Ai,24,9/9,84,61,2.8,22,7
24,Ai-S,24,9/9,84,61,2.8,22,7
24,AF,24,9/9,84,61,2.8,22,7
24,AF,24,9/9,84,61,2.8,22,7
24,AF,24,9/9,84,61,2.8,22,7
24,Ai,24,11/10,84,61,2,22,7
24,Ai-S,24,11/10,84,61,2,22,7
24,AF-S,24,12/10,84,61,1.4,16,9r
24,AF-S,24,12/9,84,61,1.8,16,7r
28,F,28,6/6,74,53,3.5,16,5
28,F-C,28,6/6,74,53,3.5,16,5
28,K,28,6/6,74,53,3.5,22,7
28,Ai,28,6/6,74,53,3.5,22,7
28,Ai-S,28,6/6,74,53,3.5,22,7
28,K,28,7/7,74,53,2.8,22,7
28,Ai,28,7/7,74,53,2.8,22,7
28,Ai-S,28,8/8,74,53,2.8,22,7
28,E,28,5/5,74,53,2.8,22,7
28,AF,28,5/5,74,53,2.8,22,7
28,AF,28,5/5,74,53,2.8,22,7
28,AF,28,6/6,74,53,2.8,22,7
28,C,28,9/8,74,53,2,22,7c
28,K,28,9/8,74,53,2,22,7c
28,Ai,28,9/8,74,53,2,22,7c
28,Ai-S,28,9/8,74,53,2,22,7
28,AF-S,28,11/9,74,53,1.8,16,7r
28,AF,28,11/8,74,53,1.4,16,9
28,AF-S,28,14/11,75,53,1.4,16,9r
35,F,35,7/5,62,44,2.8,16,9
35,F,35,7/6,62,44,2.8,16,6
35,K,35,6/6,62,44,2.8,22,7
35,Ai,35,6/6,62,44,2.8,22,7
35,Ai,35,5/5,62,44,2.8,22,7
35,Ai-S,35,5/5,62,44,2.8,22,7
35,E,35,5/5,62,44,2.5,22,7
35,F-C,35,8/6,62,44,2,16,7
35,K,35,8/6,62,44,2,22,7
35,Ai,35,8/6,62,44,2,22,7
35,Ai-S,35,8/6,62,44,2,22,7
35,AF,35,6/5,62,44,2,22,7
35,AF,35,6/5,62,44,2,22,7
35,AF-S,35,11/8,63,44,1.8,16,7r
35,C,35,9/7,62,44,1.4,22,9
35,K,35,9/7,62,44,1.4,22,7
35,Ai,35,9/7,62,44,1.4,16,7
35,Ai-S,35,9/7,62,44,1.4,16,9
