GeneralTypeLens,Focus_Length,Angle,Angle_DX,Max.Apecture,Min.Apecture
Fisheye,6,220,220,5.6,22
Fisheye,6,220,220,2.8,22
Fisheye,6,220,220,2.8,22
Fisheye,8,180,180,8.0,22
Fisheye,8,180,180,5.6,22
Fisheye,8,180,180,2.8,22
Fisheye,8,180,180,2.8,22
Fisheye,10,180,180,5.6,22
Fisheye,16,170,101,3.5,22
Fisheye,16,170,101,3.5,22
Fisheye,16,170,101,3.5,22
Fisheye,16,180,107,2.8,22
Fisheye,16,180,107,2.8,22
Fisheye,16,180,107,2.8,22
13-18,13,118,93,5.6,22
13-18,13,118,93,5.6,22
13-18,14,114,90,2.8,22
13-18,15,110,85,5.6,22
13-18,15,110,85,5.6,22
13-18,15,110,85,3.5,22
13-18,15,110,85,3.5,22
13-18,18,100,76,4.0,22
13-18,18,100,76,4.0,22
13-18,18,100,76,3.5,22
13-18,18,100,76,2.8,22
20,20,94,71,3.5,22
20,20,94,71,4.0,22
20,20,94,71,3.5,22
20,20,94,71,3.5,22
20,20,94,71,2.8,22
20,20,94,71,2.8,22
20,20,94,71,2.8,22
20,20,94,70,1.8,16
20,25,81,59,3.5,22
24,24,84,61,2.8,16
24,24,84,61,2.8,22
24,24,84,61,2.8,22
24,24,84,61,2.8,22
24,24,84,61,2.8,22
24,24,84,61,2.8,22
24,24,84,61,2.8,22
24,24,84,61,2.0,22
24,24,84,61,2.0,22
24,24,84,61,1.4,16
24,24,84,61,1.8,16
28,28,74,53,3.5,16
28,28,74,53,3.5,16
28,28,74,53,3.5,22
28,28,74,53,3.5,22
28,28,74,53,3.5,22
28,28,74,53,2.8,22
28,28,74,53,2.8,22
28,28,74,53,2.8,22
28,28,74,53,2.8,22
28,28,74,53,2.8,22
28,28,74,53,2.8,22
28,28,74,53,2.8,22
28,28,74,53,2.0,22
28,28,74,53,2.0,22
28,28,74,53,2.0,22
28,28,74,53,2.0,22
28,28,74,53,1.8,16
28,28,74,53,1.4,16
28,28,75,53,1.4,16
35,35,62,44,2.8,16
35,35,62,44,2.8,16
35,35,62,44,2.8,22
35,35,62,44,2.8,22
35,35,62,44,2.8,22
35,35,62,44,2.8,22
35,35,62,44,2.5,22
35,35,62,44,2.0,16
35,35,62,44,2.0,22
35,35,62,44,2.0,22
35,35,62,44,2.0,22
35,35,62,44,2.0,22
35,35,62,44,2.0,22
35,35,63,44,1.8,16
35,35,62,44,1.4,22
35,35,62,44,1.4,22
35,35,62,44,1.4,16
35,35,62,44,1.4,16
35,35,63,44,1.4,16
45-50,45,51,34,2.8,32
45-50,45,50,35,2.8,22
45-50,50,46,31,2.0,16
45-50,50,46,31,2.0,16
45-50,50,46,31,2.0,16
45-50,50,46,31,2.0,16
45-50,50,46,31,2.0,16
45-50,50,46,31,1.8,22
45-50,50,46,31,1.8,22
45-50,50,46,31,1.8,22
45-50,50,46,31,1.8,22
45-50,50,46,31,1.8,22
45-50,50,46,31,1.8,22
45-50,50,46,31,1.8,22
45-50,50,46,31,1.8,22
45-50,50,46,31,1.8,22
45-50,50,47,31,1.8,16
45-50,50,47,31,1.8,16
50-58,58,40,27,1.4,16
50-58,50,46,31,1.4,16
50-58,50,46,31,1.4,16
50-58,50,46,31,1.4,16
50-58,50,46,31,1.4,16
50-58,50,46,31,1.4,16
50-58,50,46,31,1.4,16
50-58,50,46,31,1.4,16
50-58,50,46,31,1.4,16
50-58,50,46,31,1.4,16
50-58,50,46,31,1.4,16
50-58,55,43,28,1.2,16
50-58,55,43,28,1.2,16
50-58,55,43,28,1.2,16
50-58,50,46,31,1.2,16
50-58,50,46,31,1.2,16
50-58,58,40,27,1.2,16
50-58,58,40,27,1.2,16
50-58,58,40,27,1.4,16
85,85,28,18,1.8,22
85,85,28,18,1.8,22
85,85,28,18,2.0,22
85,85,28,18,2.0,22
85,80,30,20,2.8,32
85,85,28,18,1.8,16
85,85,28,18,1.8,16
85,85,28,18,1.8,16
85,85,28,18,1.4,16
85,85,28,18,1.4,16
85,85,28,18,1.4,16
105,105,23,15,4.0,22
105,105,23,15,2.5,22
105,105,23,15,2.8,22
105,105,23,15,2.5,32
105,105,23,15,2.5,32
105,105,23,15,2.5,22
105,105,23,15,2.5,22
105,100,24,16,2.8,22
105,105,23,15,1.8,22
105,105,23,15,2.0,16
105,105,23,15,1.4,16
180,180,13,9,2.8,32
180,180,13,9,2.8,32
180,180,13,9,2.8,32
180,180,13,9,2.8,22
180,180,13,9,2.8,22
180,180,13,9,2.8,22
200,200,12,8,4.0,22
200,200,12,8,4.0,22
200,200,12,8,4.0,32
200,200,12,8,4.0,32
200,200,12,8,4.0,32
200,200,12,8,4.0,32
200,200,12,8,3.5,32
200,200,12,8,2.0,22
200,200,12,8,2.0,22
200,200,12,8,2.0,22
200,200,12,8,2.0,22
200,200,12,8,2.0,22
200,200,12,8,2.0,22
300,300,8,5,4.5,22
300,300,8,5,4.5,22
300,300,8,5,4.5,22
300,300,8,5,4.5,22
300,300,8,5,4.5,32
300,300,8,5,4.5,22
300,300,8,5,4.5,22
300,300,8,5,4.5,22
300,300,8,5,4.5,32
300,300,8,5,4.0,32
300,300,8,5,4.0,32
300,300,8,5,4.0,32
300,300,8,5,2.8,32
300,300,8,5,2.8,22
300,300,8,5,2.8,22
300,300,8,5,2.8,22
300,300,8,5,2.8,22
300,300,8,5,2.8,22
300,300,8,5,2.8,22
300,300,8,5,2.8,22
300,300,8,5,2.8,22
300,300,8,5,2.8,22
300,300,8,5,2.0,16
300,300,8,5,2.0,16
400,400,6,4,4.5,32
400,400,6,4,5.6,32
400,400,6,4,5.6,32
400,400,6,4,5.6,32
400,400,6,4,5.6,32
400,400,6,4,5.6,32
400,400,6,4,3.5,22
400,400,6,4,3.5,22
400,400,6,4,3.5,22
400,400,6,4,2.8,22
400,400,6,4,2.8,22
400,400,6,4,2.8,22
400,400,6,4,2.8,22
400,400,6,4,2.8,22
400,400,6,4,2.8,22
500,500,5,3,4.0,22
500,500,5,3,4.0,22
500,500,5,3,4.0,22
500,500,5,3,4.0,22
500,500,5,3,4.0,22
500,500,5,3,4.0,22
500,500,5,3,5.6,32
600,600,4,2,5.6,32
600,600,4,2,5.6,22
600,600,4,2,5.6,22
600,600,4,2,5.6,22
600,600,4,2,5.6,32
600,600,4,2,5.6,32
600,600,4,2,4.0,22
600,600,4,2,4.0,22
600,600,4,2,4.0,22
600,600,4,2,4.0,22
600,600,4,2,4.0,22
600,600,4,2,4.0,22
600,600,4,2,4.0,22
600,600,4,2,4.0,22
800-1200,800,3,2,8.0,64
800-1200,800,3,2,8.0,64
800-1200,800,3,2,8.0,64
800-1200,800,3,2,8.0,32
800-1200,800,3,2,8.0,32
800-1200,800,3,2,5.6,32
800-1200,800,3,2,5.6,32
800-1200,1200,2,1,11.0,64
800-1200,1200,2,1,11.0,64
800-1200,1200,2,1,11.0,32
800-1200,1200,2,1,11.0,32
