Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Protocol,Class,Interface Type,Output Power,Data Rate,Receiver Sensitivity,Frequency,Operating Supply Voltage,Minimum Operating Temperature,Maximum Operating Temperature,Series,Packaging,Protocol - Bluetooth, BLE - 802.15.1,Protocol - WiFi - 802.11,Protocol - ANT, Thread, Zigbee - 802.15.4,Protocol - Sub GHz
634-BGX220S22HNA21R,BGX220S22HNA21R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgx220s_datasheet-2036718.pdf,"2,357  In Stock",$12.01,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGX220S22HNA21R?qs=zW32dvEIR3vuqzfAs9jwtA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGX220S22HNA21R&utm_content=Silicon-Labs,,,,6 dBm,,,,,,,,"Cut Tape, Reel",Bluetooth,,,,,,
634-BGM220PC22WGA2R,BGM220PC22WGA2R,Silicon Labs,https://ru.mouser.com/datasheet/2/368/bgm220p_datasheet-1900893.pdf,875  In Stock,$11.62,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Silicon-Labs/BGM220PC22WGA2R?qs=7MVldsJ5UayRQss0gz56jA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BGM220PC22WGA2R&utm_content=Silicon-Labs,Bluetooth 5.2,Bluetooth Low Energy (BLE),"I2C, SPI, UART",8 dBm,2 Mb/s,- 96.2 dBm,2.4 GHz,1.8 V to 3.8 V,- 40 C,+ 85 C,,"Cut Tape, Reel",Bluetooth,,,,,,
963-EYSNSNZWW,EYSNSNZWW,Taiyo Yuden,https://ru.mouser.com/datasheet/2/396/TaiyoYuden_9232020_BLE_Overview_V3_0_20200511-1902320.pdf,"2,463  In Stock",$14.40,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/EYSNSNZWW?qs=TiOZkKH1s2QwRFBbD4XGLQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYSNSNZWW&utm_content=Taiyo-Yuden,,,,,,,,,,,,"Cut Tape, Reel",BLE,,,,,,
377-BMD-380-A-R,BMD-380-A-R,u-blox,https://www.u-blox.com/en/docs/UBX-19039467,306  In Stock,$23.32,,New Product,https://ru.mouser.com/ProductDetail/u-blox/BMD-380-A-R?qs=bAKSY/ctAC4RL/ODaghZbw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BMD-380-A-R&utm_content=u-blox,Bluetooth 5.1,Bluetooth Low Energy (BLE),"I2C, SPI, UART",,2 Mb/s,,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 85 C,,,Bluetooth,,,,,,
239-453-00059C,453-00059C,Laird Connectivity,https://www.lairdconnect.com/documentation/datasheet-bl653-micro-series-preliminary,420  In Stock,$13.12,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00059C?qs=DPoM0jnrROWPFc/pjzHSnA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00059C&utm_content=Laird-Connectivity,,,,,,,,,,,BL653,Cut Tape,,,,,,,
963-EYSNCNZWW,EYSNCNZWW,Taiyo Yuden,https://ru.mouser.com/datasheet/2/396/TaiyoYuden_9232020_BLE_Overview_V3_0_20200511-1902320.pdf,"1,063  In Stock",$14.21,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Taiyo-Yuden/EYSNCNZWW?qs=hWgE7mdIu5Q1ymNAw8d21w==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYSNCNZWW&utm_content=Taiyo-Yuden,,,,,,,,,,,,"Cut Tape, Reel",BLE,,,,,,
377-NINA-B400-00B,NINA-B400-00B,u-blox,https://www.u-blox.com/en/docs/UBX-19049405,351  In Stock,$16.91,,New Product,https://ru.mouser.com/ProductDetail/u-blox/NINA-B400-00B?qs=DPoM0jnrROUT2qYy57CMqA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NINA-B400-00B&utm_content=u-blox,,,"GPIO, I2C, SPI, UART, USB",,,- 102 dBm,64 MHz,1.7 V to 3.6 V,- 40 C,+ 105 C,,,Bluetooth,,,,,,
239-453-00059R,453-00059R,Laird Connectivity,https://www.lairdconnect.com/documentation/datasheet-bl653-micro-series-preliminary,982  In Stock,$20.62,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00059R?qs=DPoM0jnrROXKT/2EUe1wYw==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00059R&utm_content=Laird-Connectivity,,,,,,,,,,,BL653,"Cut Tape, MouseReel, Reel",,,,,,,
377-NINA-B410-00B,NINA-B410-00B,u-blox,https://www.u-blox.com/en/docs/UBX-20035327,500  In Stock,$18.58,,New Product,https://ru.mouser.com/ProductDetail/u-blox/NINA-B410-00B?qs=DPoM0jnrROUpo3Z5O301bA==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NINA-B410-00B&utm_content=u-blox,Bluetooth 5.1,,"GPIO, I2C, I2S, SPI, UART, USB",10 dBm,2 Mb/s,- 102 dBm,2.4 GHz,1.7 V to 3.6 V,- 40 C,+ 105 C,,,Bluetooth,,,,,,
239-453-00060C,453-00060C,Laird Connectivity,https://www.lairdconnect.com/documentation/datasheet-bl653-micro-series-preliminary,472  In Stock,$13.12,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00060C?qs=DPoM0jnrROU4XrVnTAh9uQ==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00060C&utm_content=Laird-Connectivity,,,,,,,,,,,BL653,Cut Tape,,,,,,,
239-453-00060R,453-00060R,Laird Connectivity,https://www.lairdconnect.com/documentation/datasheet-bl653-micro-series-preliminary,996  In Stock,$20.62,RoHS Compliant,New Product,https://ru.mouser.com/ProductDetail/Laird-Connectivity/453-00060R?qs=DPoM0jnrROUSDeGaTNTdzg==&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=453-00060R&utm_content=Laird-Connectivity,,,,,,,,,,,BL653,"Cut Tape, MouseReel, Reel",,,,,,,
