AnimeId;CharacterId;Role
1;3;Main
1;1;Main
1;2;Main
1;16;Main
1;131427;Supporting
1;131428;Supporting
1;137292;Supporting
1;137299;Supporting
1;131429;Supporting
1;128656;Supporting
1;137293;Supporting
1;137294;Supporting
1;137295;Supporting
1;19117;Supporting
1;23686;Supporting
1;85271;Supporting
1;38884;Supporting
1;131434;Supporting
1;131468;Supporting
1;128657;Supporting
1;23687;Supporting
1;131489;Supporting
1;15713;Supporting
1;131436;Supporting
1;131437;Supporting
1;89657;Supporting
1;133872;Supporting
1;128986;Supporting
1;131439;Supporting
1;131441;Supporting
1;128838;Supporting
1;18441;Supporting
1;2736;Supporting
1;4;Supporting
1;133874;Supporting
1;96017;Supporting
1;131471;Supporting
1;131445;Supporting
1;131444;Supporting
1;131449;Supporting
1;131446;Supporting
1;131448;Supporting
1;29559;Supporting
1;131450;Supporting
1;131452;Supporting
1;13249;Supporting
1;94717;Supporting
1;131456;Supporting
1;131454;Supporting
1;131472;Supporting
1;131458;Supporting
1;131463;Supporting
1;128658;Supporting
1;131465;Supporting
1;6694;Supporting
1;2735;Supporting
1;131464;Supporting
1;131485;Supporting
1;19118;Supporting
1;131443;Supporting
1;128655;Supporting
1;133877;Supporting
1;133876;Supporting
1;133875;Supporting
1;131459;Supporting
1;131461;Supporting
1;131433;Supporting
1;131438;Supporting
1;131479;Supporting
1;29313;Supporting
1;88679;Supporting
1;131473;Supporting
1;37186;Supporting
1;131466;Supporting
1;129846;Supporting
1;83271;Supporting
1;99699;Supporting
1;129886;Supporting
1;133873;Supporting
1;128842;Supporting
1;131469;Supporting
1;131430;Supporting
1;131435;Supporting
1;79667;Supporting
1;137296;Supporting
1;131455;Supporting
1;6693;Supporting
1;131467;Supporting
1;131488;Supporting
1;36364;Supporting
1;129116;Supporting
1;131442;Supporting
1;137297;Supporting
1;131457;Supporting
1;42425;Supporting
1;131451;Supporting
1;131478;Supporting
1;131481;Supporting
1;131480;Supporting
1;96385;Supporting
1;35870;Supporting
1;131476;Supporting
1;131460;Supporting
1;78693;Supporting
1;30572;Supporting
1;131453;Supporting
1;137298;Supporting
1;131462;Supporting
1;23611;Supporting
1;70753;Supporting
1;131447;Supporting
1;128839;Supporting
1;131482;Supporting
1;131483;Supporting
1;2734;Supporting
1;131486;Supporting
1;23740;Supporting
1;131487;Supporting
1;131440;Supporting
1;128841;Supporting
1;19119;Supporting
1;131475;Supporting
1;131484;Supporting
1;131474;Supporting
1;131477;Supporting
5;3;Main
5;8435;Main
5;1;Main
5;2;Main
5;4035;Main
5;16;Main
5;128079;Supporting
5;128059;Supporting
5;128060;Supporting
5;128070;Supporting
5;128656;Supporting
5;19117;Supporting
5;50053;Supporting
5;128657;Supporting
5;128640;Supporting
5;128078;Supporting
5;128063;Supporting
5;4;Supporting
