SourceId;TargetId;Type
1;5;side_story
1;4037;summary
1;17205;side_story
5;1;parent_story
4037;1;full_story
17205;1;parent_story
6;4106;side_story
4106;6;parent_story
8;1123;sequel
1123;8;prequel
15;1317;side_story
15;6418;side_story
1317;15;parent_story
6418;15;parent_story
16;644;side_story
16;1142;sequel
644;16;prequel
644;1142;sequel
1142;16;prequel
1142;644;prequel
18;187;prequel
18;3931;summary
18;5228;side_story
18;15059;sequel
187;18;sequel
187;186;prequel
187;821;summary
187;822;side_story
187;12725;summary
3931;18;full_story
3931;821;prequel
3931;47410;sequel
5228;18;parent_story
5228;822;prequel
15059;18;prequel
15059;22507;sequel
15059;47410;summary
186;185;prequel
186;187;sequel
186;821;summary
186;822;side_story
186;12725;summary
821;185;full_story
821;186;full_story
821;187;full_story
821;3931;sequel
822;186;parent_story
822;187;parent_story
822;5228;sequel
12725;185;full_story
12725;186;full_story
12725;187;full_story
22507;15059;prequel
22507;47410;summary
47410;3931;prequel
47410;15059;full_story
47410;22507;full_story
185;186;sequel
185;821;summary
185;12725;summary
185;19613;summary
19613;185;full_story
19613;28881;sequel
28881;19613;prequel
28881;30952;sequel
30952;28881;prequel
19;1109;summary
19;39332;summary
1109;19;full_story
39332;19;full_story
20;442;side_story
20;594;side_story
20;761;side_story
20;936;side_story
20;1074;side_story
20;1735;sequel
20;2144;side_story
20;7367;side_story
442;20;parent_story
442;2248;side_story
594;20;parent_story
761;20;parent_story
936;20;parent_story
1074;20;parent_story
1735;20;prequel
1735;2472;side_story
1735;4134;spin_off
1735;4437;side_story
1735;6325;side_story
1735;8246;side_story
1735;10075;other
1735;10589;side_story
1735;12979;spin_off
1735;13667;side_story
1735;16870;side_story
1735;19511;other
1735;28755;sequel
1735;32365;side_story
1735;34566;sequel
1735;40971;other
2144;20;parent_story
7367;20;parent_story
2248;442;parent_story
2472;1735;parent_story
4134;1735;parent_story
4437;1735;parent_story
6325;1735;parent_story
8246;1735;parent_story
8246;10659;other
10075;1735;parent_story
10589;1735;parent_story
10589;10686;other
12979;1735;spin_off
13667;1735;parent_story
16870;1735;parent_story
19511;1735;parent_story
28755;1735;prequel
28755;32365;other
28755;34566;alternative_version
32365;1735;parent_story
32365;28755;other
32365;34566;alternative_version
34566;1735;prequel
34566;28755;alternative_version
34566;32365;alternative_version
34566;35072;side_story
40971;1735;other
10659;8246;other
10686;1735;full_story
10686;10589;side_story
35072;34566;parent_story
21;459;side_story
21;460;side_story
21;461;side_story
21;462;side_story
21;463;side_story
21;464;side_story
21;465;side_story
21;466;side_story
21;1094;side_story
21;1237;side_story
21;1238;side_story
21;2020;side_story
21;2107;summary
21;2385;side_story
21;2386;side_story
21;2490;side_story
21;2680;side_story
21;3848;alternative_version
21;4155;side_story
21;5252;side_story
21;8171;summary
21;8740;side_story
21;9999;side_story
21;12001;side_story
21;12859;side_story
21;15323;summary
21;16143;summary
21;16239;side_story
21;16468;side_story
21;19123;summary
21;22661;other
21;25161;side_story
21;28683;summary
21;31289;summary
21;31490;side_story
21;32051;side_story
21;32437;summary
21;34165;other
21;36215;summary
21;36239;other
21;37902;summary
21;38234;side_story
21;40181;other
459;21;parent_story
460;21;parent_story
460;2385;side_story
461;21;parent_story
461;2386;side_story
462;21;parent_story
463;21;parent_story
463;2490;side_story
464;21;parent_story
465;21;parent_story
466;21;parent_story
1094;21;parent_story
1237;21;parent_story
1238;21;parent_story
2020;21;parent_story
2107;21;parent_story
2107;28683;prequel
2385;21;full_story
2385;460;parent_story
2386;21;full_story
2386;461;parent_story
2490;21;full_story
2490;463;parent_story
2680;21;parent_story
3848;21;alternative_version
3848;22661;other
4155;21;parent_story
4155;8740;prequel
5252;21;parent_story
8171;21;full_story
8740;21;parent_story
8740;4155;sequel
9999;21;parent_story
9999;20871;other
12001;21;parent_story
12859;21;parent_story
12859;16239;prequel
12859;16468;prequel
15323;21;full_story
16143;21;full_story
16239;21;parent_story
16239;12859;sequel
16468;21;parent_story
16468;12859;sequel
19123;21;full_story
22661;21;other
22661;3848;other
25161;21;parent_story
28683;21;full_story
28683;2107;sequel
31289;21;full_story
31490;21;parent_story
31490;33338;prequel
31490;33606;prequel
31490;36240;other
31490;36241;other
31490;36242;other
32051;21;parent_story
32437;21;full_story
34165;21;other
36215;21;full_story
36239;21;other
37902;21;full_story
38234;21;parent_story
40181;21;other
20871;21;parent_story
20871;9999;other
33338;21;parent_story
33338;31490;sequel
33606;21;parent_story
33606;31490;sequel
36240;31490;other
36241;31490;other
36241;36242;other
36242;31490;other
36242;36241;other
22;814;side_story
22;815;side_story
22;995;sequel
22;1190;side_story
22;5996;side_story
22;6749;other
22;10276;other
22;10731;side_story
22;10862;side_story
22;29697;side_story
22;36952;alternative_version
814;22;parent_story
815;22;parent_story
995;22;prequel
995;2752;sequel
1190;22;parent_story
5996;22;parent_story
6749;22;parent_story
10276;22;parent_story
10731;22;parent_story
10862;22;parent_story
29697;22;parent_story
36952;22;alternative_version
2752;995;prequel
2752;4053;sequel
4053;2752;prequel
4053;5751;sequel
4053;11371;sequel
4053;38882;sequel
5751;4053;prequel
5751;6999;side_story
5751;10573;sequel
11371;4053;prequel
11371;13245;side_story
11371;21755;sequel
11371;38882;prequel
38882;4053;prequel
38882;11371;sequel
6999;5751;parent_story
10573;5751;prequel
10573;13073;side_story
13245;11371;parent_story
21755;11371;prequel
21755;24457;other
13073;10573;parent_story
24457;22;parent_story
24457;21755;other
23;1771;sequel
23;34307;other
1771;23;prequel
1771;7793;sequel
34307;23;full_story
7793;1771;prequel
7793;10346;sequel
10346;7793;prequel
24;517;side_story
24;846;sequel
517;24;parent_story
846;24;prequel
846;517;prequel
846;4015;sequel
4015;846;prequel
26;39284;other
26;41068;summary
39284;26;other
41068;26;full_story
30;31;summary
30;32;sequel
30;2759;alternative_version
30;3784;alternative_version
30;3786;alternative_version
30;4130;spin_off
30;23023;other
30;31115;character
30;38055;other
30;43745;character
30;43751;character
30;47307;other
31;30;parent_story
32;30;prequel
2759;30;alternative_version
2759;3784;sequel
2759;23023;other
2759;32311;other
3784;30;alternative_version
3784;2759;prequel
3784;3785;sequel
3784;32311;other
3786;30;alternative_version
3786;3785;prequel
4130;30;spin_off
23023;30;other
23023;2759;other
31115;30;character
38055;30;other
38055;3785;other
43745;30;character
43751;30;character
47307;30;other
3785;3784;prequel
3785;3786;sequel
3785;32739;other
3785;34085;other
3785;38055;other
32311;2759;other
32739;3785;other
34085;3785;other
33;10218;alternative_version
33;12113;alternative_version
33;12115;alternative_version
33;32379;sequel
10218;33;alternative_version
10218;12113;sequel
12113;10218;prequel
12113;12115;sequel
12115;12113;prequel
12115;32379;sequel
32379;33;prequel
32379;12115;prequel
32379;34055;sequel
32379;35009;summary
34055;32379;prequel
34055;35676;summary
35009;32379;full_story
35676;34055;full_story
43;467;alternative_setting
43;468;sequel
43;4672;alternative_version
43;27411;alternative_setting
43;38799;alternative_setting
467;43;alternative_setting
467;801;sequel
467;1335;spin_off
467;2449;summary
467;10949;side_story
468;43;prequel
4672;43;alternative_version
27411;43;alternative_setting
27411;29325;prequel
27411;38799;alternative_setting
38799;43;alternative_setting
38799;1566;prequel
38799;27411;alternative_setting
801;467;prequel
801;1566;sequel
801;2448;summary
801;3485;spin_off
1335;467;parent_story
1566;801;prequel
1566;3447;side_story
1566;10090;alternative_version
1566;10870;side_story
1566;38799;sequel
2449;467;full_story
2449;2448;sequel
2449;10947;side_story
10949;467;parent_story
29325;17187;alternative_version
29325;19191;alternative_version
29325;19193;alternative_version
29325;19195;alternative_version
29325;27411;sequel
2448;801;full_story
2448;2449;prequel
2448;10948;side_story
3447;1566;parent_story
3485;801;parent_story
10090;1566;alternative_version
10090;10950;side_story
10870;1566;parent_story
10947;2449;parent_story
17187;18989;side_story
17187;19191;sequel
17187;21575;character
17187;22013;other
17187;29325;alternative_version
19191;17187;prequel
19191;19193;sequel
19191;22013;other
19191;29255;other
19191;29325;alternative_version
19193;19191;prequel
19193;19195;sequel
19193;22013;other
19193;29325;alternative_version
19195;19193;prequel
19195;22013;other
19195;29325;alternative_version
10948;2448;parent_story
10950;10090;parent_story
18989;17187;parent_story
21575;17187;character
22013;17187;other
22013;19191;other
22013;19193;other
22013;19195;other
29255;19191;other
44;45;sequel
45;44;prequel
45;46;side_story
45;401;sequel
45;4664;side_story
45;6591;alternative_version
45;9716;side_story
45;10334;summary
45;11441;alternative_version
45;12067;side_story
45;37537;other
46;45;parent_story
401;45;prequel
4664;45;parent_story
6591;45;parent_story
9716;45;parent_story
10334;45;full_story
11441;45;parent_story
12067;45;parent_story
37537;45;other
47;40054;alternative_version
40054;47;alternative_version
48;298;sequel
48;299;alternative_setting
48;454;side_story
48;873;sequel
48;1143;sequel
48;1487;sequel
48;9332;other
48;11375;other
298;48;prequel
298;454;side_story
298;873;alternative_setting
298;1994;side_story
298;9332;other
299;48;alternative_setting
454;48;parent_story
454;298;parent_story
873;48;prequel
873;298;prequel
873;3269;sequel
873;9332;other
1143;48;prequel
1487;48;prequel
9332;48;other
9332;298;other
9332;873;other
9332;10390;side_story
11375;48;other
11375;15219;side_story
1994;298;parent_story
3269;873;prequel
3269;2928;sequel
3269;4469;side_story
3269;36646;other
10390;9332;parent_story
15219;11375;parent_story
2928;48;alternative_version
2928;873;parent_story
2928;3269;prequel
4469;3269;parent_story
36646;3269;other
49;50;alternative_version
49;304;sequel
49;9611;other
50;49;alternative_version
50;303;spin_off
50;880;sequel
50;1003;side_story
304;49;prequel
9611;49;other
9611;3090;prequel
303;50;spin_off
880;50;prequel
880;2198;sequel
1003;50;parent_story
3090;2198;prequel
3090;9611;sequel
2198;880;prequel
2198;3090;sequel
