AnimeId;StudioId
1;14
5;4
6;11
7;14
8;18
15;36
16;7
17;22
18;179
19;11
20;1
21;18
22;80
23;18
24;126
25;3
26;11
27;3
28;14
29;37
30;6
30;103
31;6
31;10
32;6
32;10
33;28
43;10
44;37
45;36
45;37
46;36
47;65
48;5
49;48
50;48
51;34
52;4
53;7
54;486
55;5
56;5
57;11
58;48
59;11
60;3
61;27
62;91
62;218
63;39
64;70
65;70
66;7
67;3
68;3
69;14
71;3
72;2
73;2
74;86
75;27
76;35
77;35
79;163
80;14
81;14
82;14
83;14
84;14
85;14
86;14
87;14
87;101
88;14
89;14
89;37
90;14
91;14
92;14
93;14
94;14
95;14
95;1260
96;14
97;3
98;14
99;14
100;34
101;2
102;73
103;36
104;1
105;34
106;18
107;37
108;37
109;3
110;22
111;22
112;75
112;1383
113;27
114;10
115;48
116;48
117;48
118;48
119;218
120;37
121;4
122;37
123;1
124;1
125;94
126;43
126;91
126;93
127;3
128;3
129;1
130;1
131;1
132;37
133;114
134;11
135;1
136;22
137;22
138;22
139;22
141;91
142;18
143;120
144;18
145;6
145;7
146;6
146;44
147;24
148;37
149;7
150;10
151;6
151;18
152;3
153;1
154;27
155;11
156;11
157;27
158;37
159;6
159;7
160;48
161;3
162;11
163;1
164;21
165;4
166;3
167;4
168;14
169;7
170;18
171;34
173;37
174;11
175;1
176;35
177;5
178;196
179;196
180;3
181;3
182;14
183;126
184;18
185;36
185;126
186;413
187;37
189;27
190;27
191;27
192;27
193;7
194;41
195;39
196;39
197;11
197;75
198;3
199;21
200;73
201;10
202;4
204;37
205;32
206;48
207;11
208;37
209;7
210;37
212;77
216;4
218;27
219;27
222;38
223;18
225;18
226;38
227;6
227;10
228;37
229;43
230;18
231;462
231;721
232;11
233;7
234;122
235;73
236;1
237;4
238;1
239;3
240;455
241;83
242;11
243;37
244;28
245;1
246;37
247;96
248;11
249;14
250;18
251;37
252;5
253;247
254;247
255;247
256;291
257;7
258;11
259;101
260;101
261;101
262;101
263;11
264;11
265;11
266;7
267;11
268;77
269;1
270;3
271;3
272;5
273;7
274;3
275;75
275;1383
276;6
276;44
277;6
277;44
278;86
279;73
280;36
281;1873
282;73
283;22
284;86
285;14
286;73
287;86
288;11
289;28
290;14
291;91
292;179
293;11
294;81
295;81
296;11
297;86
298;5
299;5
300;18
301;207
302;22
303;28
304;48
305;1
306;6
306;11
307;103
308;30
309;81
310;1
311;11
311;65
313;11
314;583
315;110
317;58
318;120
318;196
319;218
321;24
321;827
322;11
323;11
324;14
325;126
326;11
327;6
328;28
329;14
330;1
331;22
332;22
333;14
334;18
335;37
336;5
337;154
338;65
339;110
340;126
341;7
342;7
343;44
344;86
345;1
346;63
346;78
347;5
348;27
349;88
350;18
351;18
352;18
353;18
354;114
355;7
356;37
357;34
357;70
358;18
359;463
360;86
361;154
361;1183
362;78
362;253
363;78
363;253
364;73
364;122
364;442
365;7
366;24
367;36
369;11
370;207
371;11
372;11
373;24
373;155
374;196
375;196
376;38
377;60
377;196
378;60
379;7
380;1
381;1
382;462
383;11
384;3
385;86
385;1037
386;196
387;81
388;126
389;103
390;126
391;60
392;1
393;4
393;14
394;7
395;3
396;14
397;14
398;14
399;14
400;14
401;37
402;11
403;39
404;48
405;10
406;73
407;1
408;11
411;88
412;6
412;44
413;318
415;21
416;21
417;131
418;169
418;119
419;37
420;13
421;24
422;24
423;24
424;14
425;22
426;11
427;3
427;10
428;3
429;3
430;4
431;21
432;242
433;291
434;48
435;65
437;11
438;1445
439;155
440;7
441;7
442;1
443;39
444;37
445;10
445;27
446;43
447;107
447;207
448;11
449;14
450;14
451;14
452;2
452;14
454;5
455;22
456;7
457;8
458;28
459;18
460;18
461;18
462;18
463;18
464;18
465;18
466;10
467;10
468;10
469;7
470;11
471;28
472;28
473;94
474;110
475;14
476;890
477;34
478;41
478;196
479;37
481;36
482;36
483;4
484;1
485;207
486;179
487;83
488;39
489;112
490;44
492;48
493;48
495;27
496;11
497;37
498;48
499;11
501;65
502;18
503;114
503;342
504;119
504;139
504;109
504;169
504;467
505;34
506;191
507;107
508;73
509;120
510;38
511;63
512;21
513;21
514;39
515;110
516;14
517;126
518;196
519;7
520;484
521;60
521;118
522;11
523;21
524;39
525;10
526;10
527;28
528;28
529;3
530;18
531;18
532;18
533;7
534;154
535;154
536;7
537;37
538;48
539;48
540;48
541;48
543;11
544;110
545;120
546;81
547;50
548;6
550;18
551;86
552;18
553;7
554;28
554;196
555;28
556;28
557;28
558;101
559;4
560;10
560;27
561;11
562;81
563;11
563;37
564;7
565;13
565;14
566;11
567;14
568;48
569;103
570;10
571;48
572;363
573;280
574;14
576;122
577;63
577;78
578;21
579;48
580;1
581;24
582;207
584;41
585;21
586;18
587;86
588;120
589;18
590;86
591;37
592;73
593;14
594;1
595;11
596;11
597;21
598;81
599;11
600;81
600;1363
601;7
602;6
603;18
604;1
605;1
606;11
607;11
608;10
609;24
610;44
611;289
612;27
613;14
614;7
615;2
615;103
616;36
617;11
618;11
619;280
620;73
621;48
622;50
622;78
622;253
623;179
624;37
624;101
624;196
625;50
626;18
627;101
629;196
630;11
630;196
631;6
