AnimeId;PersonId;Role
1;40009;Producer
1;6519;Producer
1;2009;Director
1;2009;Script
1;2009;Storyboard
1;20050;Sound Director
1;38880;Episode Director
1;38880;Storyboard
1;2501;Script
1;8714;Script
1;2334;Script
1;2334;Series Composition
1;5165;Script
1;5245;Script
1;2096;Script
1;11597;Storyboard
1;2762;Storyboard
1;4002;Storyboard
1;11123;Storyboard
1;19842;Storyboard
1;6459;Storyboard
1;7989;Theme Song Performance
1;508;Theme Song Arrangement
1;508;Theme Song Composition
1;508;Music
1;9055;Theme Song Performance
1;38759;Key Animation
1;40210;Key Animation
1;8845;Inserted Song Performance
1;6528;Inserted Song Performance
1;40130;Animation Director
1;40130;Key Animation
1;34559;Background Art
1;40824;Key Animation
1;34991;Art Director
1;37446;Background Art
1;9361;Key Animation
1;40979;Key Animation
1;10136;Key Animation
1;37760;Background Art
1;39484;Animation Director
1;39484;Key Animation
1;47541;Key Animation
1;8531;Chief Animation Director
1;8531;Character Design
1;18875;ADR Director
1;10224;Key Animation
1;12221;Inserted Song Performance
1;14305;Sound Effects
1;37866;Dialogue Editing
1;269;ADR Director
1;34061;Background Art
1;11343;Key Animation
1;20629;Animation Director
1;6801;Key Animation
1;38905;Color Design
1;10311;Key Animation
1;52614;Director of Photography
1;38681;Key Animation
1;33185;Digital Paint
1;17295;Key Animation
1;37440;Background Art
1;23595;Music
1;9133;Key Animation
1;10544;Key Animation
1;10226;Key Animation
1;16585;Key Animation
1;15571;In-Between Animation
1;29285;Animation Director
1;29285;Key Animation
1;9178;Music
1;29527;Key Animation
1;11476;Mechanical Design
1;17903;Key Animation
1;2197;Original Creator
1;37439;Key Animation
5;40009;Producer
5;6519;Producer
5;33711;Producer
5;8502;Director
5;8502;Storyboard
5;8502;Key Animation
5;2009;Director
5;2009;Storyboard
5;20050;Sound Director
5;38880;Episode Director
5;37094;Script
5;2334;Script
5;40130;Storyboard
5;40130;Key Animation
5;40130;Animation Director
5;6232;Storyboard
5;6801;Storyboard
5;6801;Key Animation
5;43574;Theme Song Performance
5;43574;Theme Song Lyrics
5;9055;Theme Song Performance
5;38759;Key Animation
5;6518;Key Animation
5;6518;Animation Director
5;24307;Key Animation
5;48772;Key Animation
5;9381;Key Animation
5;540;ADR Director
5;19982;Background Art
5;42360;Background Art
5;43462;Key Animation
5;5151;Special Effects
5;8268;Key Animation
5;14607;Key Animation
5;40979;Assistant Animation Director
5;40979;Key Animation
5;48923;In-Between Animation
5;11185;Key Animation
5;508;Music
5;40462;Color Design
5;8531;Character Design
5;8531;Animation Director
5;41533;Key Animation
5;14305;Sound Effects
5;47667;In-Between Animation
5;41479;Key Animation
5;10114;Inserted Song Performance
5;269;ADR Director
5;18823;In-Between Animation
5;39240;Art Director
5;11343;Key Animation
5;38905;Color Design
5;33431;Background Art
5;8725;Key Animation
5;2762;Key Animation
5;52614;Director of Photography
5;38681;Key Animation
5;17295;Key Animation
5;17295;Assistant Animation Director
5;5981;Key Animation
5;9388;In-Between Animation
5;10263;In-Between Animation
5;3185;Key Animation
5;41345;Key Animation
5;23595;Music
5;9133;Assistant Animation Director
5;9133;Key Animation
5;39433;2nd Key Animation
5;29285;Key Animation
5;29527;Key Animation
5;29527;Assistant Animation Director
5;11123;Key Animation
5;6458;Key Animation
5;2197;Original Creator
5;8498;Assistant Animation Director
5;8498;Key Animation
6;10736;Producer
6;40009;Producer
6;10285;Director
6;10285;Episode Director
6;10285;Storyboard
6;17849;Sound Director
6;6619;Episode Director
6;37709;Episode Director
6;37709;Storyboard
6;48086;Episode Director
6;11457;Episode Director
6;12683;Episode Director
6;12683;Storyboard
6;12683;Key Animation
6;10553;Episode Director
6;10553;Storyboard
6;10553;Assistant Director
6;41129;Episode Director
6;2471;Script
6;2471;Series Composition
6;10277;Storyboard
6;42483;Storyboard
6;24065;Storyboard
6;31669;Storyboard
6;45391;ADR Director
6;45725;Animation Director
6;5328;Music
6;10284;Mechanical Design
6;10286;Art Director
6;40691;Animation Director
6;48068;Key Animation
6;18875;ADR Director
6;17795;Animation Director
6;8099;Animation Director
6;8170;Executive Producer
6;7193;Background Art
6;3098;Original Character Design
6;3098;Original Creator
6;51434;Key Animation
6;51413;Key Animation
6;9693;ADR Director
6;835;ADR Director
6;41930;Assistant Director
6;6465;Art Director
6;8340;Animation Director
6;11143;Animation Director
6;11476;Mechanical Design
6;37177;Key Animation
6;6187;Character Design
6;6187;Animation Director
7;5793;Director
7;5793;Script
7;5793;Storyboard
7;5793;Original Creator
7;24447;Sound Director
7;6185;Storyboard
7;6185;Key Animation
7;5659;Storyboard
7;5326;Storyboard
7;7427;Storyboard
7;7427;Animation Director
7;5172;Theme Song Arrangement
7;5172;Music
7;27397;Key Animation
7;19;ADR Director
7;14607;Key Animation
7;8531;Key Animation
7;30657;Screenplay
7;6891;Animation Director
7;47546;Key Animation
7;11343;Animation Director
7;11341;Animation Director
7;48444;Key Animation
7;16163;Key Animation
7;9133;Key Animation
7;22239;Key Animation
7;39670;Color Design
7;9698;Character Design
7;9698;Animation Director
7;6887;Animation Director
7;11342;Animation Director
7;2197;Original Creator
7;38955;Series Composition
8;16687;Producer
8;12867;Director
8;40537;Episode Director
8;40537;Storyboard
8;6459;Episode Director
8;6459;Storyboard
8;29041;Script
8;6173;Theme Song Performance
8;6173;Theme Song Lyrics
8;46776;Theme Song Arrangement
8;7937;Character Design
8;39576;Series Composition
8;40453;Color Design
8;2954;Original Creator
8;14975;Music
8;8979;Key Animation
8;312;ADR Director
8;12109;Executive Producer
8;35739;Character Design
8;35739;Chief Animation Director
15;38369;Producer
15;16745;Director
15;16745;Episode Director
15;16745;Storyboard
15;16745;Key Animation
15;40547;Sound Director
15;37811;Episode Director
15;48843;Episode Director
15;5499;Episode Director
15;5499;Storyboard
15;5311;Episode Director
15;29195;Episode Director
15;29195;Storyboard
15;51409;Episode Director
15;7538;Script
15;11605;Script
15;37611;Script
15;6674;Theme Song Performance
15;4;Theme Song Performance
15;5110;Theme Song Performance
15;5070;Theme Song Arrangement
15;28739;Theme Song Performance
15;34293;Key Animation
15;47292;Key Animation
15;34823;Special Effects
15;30357;Editing
15;46856;Key Animation
15;37403;Key Animation
15;47538;Key Animation
15;41885;Key Animation
15;1902;Original Creator
15;30527;Key Animation
15;42582;Key Animation
15;46855;Key Animation
15;11501;Key Animation
15;47291;Animation Director
15;47291;Key Animation
15;26411;Animation Director
15;26411;2nd Key Animation
15;26411;Key Animation
15;26411;Character Design
15;47300;Key Animation
15;42830;Key Animation
15;45723;Animation Director
15;46726;Animation Director
15;20629;Animation Director
15;1903;Original Character Design
15;47113;Key Animation
15;46730;Animation Director
15;27859;Key Animation
15;5072;Music
15;47547;Key Animation
15;41466;Key Animation
15;9388;Key Animation
15;31089;In-Between Animation
15;19924;Key Animation
15;19924;Animation Director
15;40170;2nd Key Animation
15;10262;Key Animation
15;40844;Key Animation
15;22473;Character Design
15;39164;In-Between Animation
15;8979;Key Animation
15;34351;Key Animation
15;34351;Animation Director
15;47104;Key Animation
15;47104;In-Between Animation
15;41431;Key Animation
15;37177;Animation Director
15;37177;Key Animation
15;45482;Key Animation
15;40739;Color Design
