Id;Name;Episodes;Franchise;Kind;Rating;Score;Status;AiredOn;ReleasedOn
1;Cowboy Bebop;26;cowboy_bebop;tv;r;8.78;released;1998-04-02T20:00:00.0000000Z;1999-04-23T20:00:00.0000000Z
5;Cowboy Bebop: Tengoku no Tobira;1;cowboy_bebop;movie;r;8.39;released;2001-08-31T20:00:00.0000000Z;
6;Trigun;26;trigun;tv;pg_13;8.23;released;1998-03-31T20:00:00.0000000Z;1998-09-29T20:00:00.0000000Z
7;Witch Hunter Robin;26;;tv;pg_13;7.27;released;2002-07-01T20:00:00.0000000Z;2002-12-23T21:00:00.0000000Z
8;Bouken Ou Beet;52;beet_the_vandel_buster;tv;pg;6.97;released;2004-09-29T20:00:00.0000000Z;2005-09-28T20:00:00.0000000Z
15;Eyeshield 21;145;eyeshield;tv;pg_13;7.95;released;2005-04-05T20:00:00.0000000Z;2008-03-18T21:00:00.0000000Z
16;Hachimitsu to Clover;24;honey_and_clover;tv;pg_13;8.05;released;2005-04-14T20:00:00.0000000Z;2005-09-26T20:00:00.0000000Z
17;Hungry Heart: Wild Striker;52;;tv;pg_13;7.58;released;2002-09-10T20:00:00.0000000Z;2003-09-09T20:00:00.0000000Z
18;Initial D Fourth Stage;24;initial_d;tv;pg_13;8.15;released;2004-04-16T20:00:00.0000000Z;2006-02-17T21:00:00.0000000Z
19;Monster;74;monster;tv;r_plus;8.77;released;2004-04-06T20:00:00.0000000Z;2005-09-27T20:00:00.0000000Z
20;Naruto;220;naruto;tv;pg_13;7.92;released;2002-10-02T20:00:00.0000000Z;2007-02-07T21:00:00.0000000Z
21;One Piece;0;one_piece;tv;pg_13;8.54;ongoing;1999-10-19T20:00:00.0000000Z;
22;Tennis no Ouji-sama;178;tennis_no_ouji_sama;tv;pg_13;7.9;released;2001-10-09T20:00:00.0000000Z;2005-03-22T21:00:00.0000000Z
23;Ring ni Kakero 1;12;ring_ni_kakero;tv;pg;6.38;released;2004-10-05T20:00:00.0000000Z;2004-12-14T21:00:00.0000000Z
24;School Rumble;26;school_rumble;tv;pg_13;7.93;released;2004-10-04T20:00:00.0000000Z;2005-03-28T20:00:00.0000000Z
25;Sunabouzu;24;;tv;r;7.42;released;2004-10-05T20:00:00.0000000Z;2005-03-29T20:00:00.0000000Z
26;Texhnolyze;22;texhnolyze;tv;r_plus;7.76;released;2003-04-16T20:00:00.0000000Z;2003-09-24T20:00:00.0000000Z
27;Trinity Blood;24;;tv;r;7.32;released;2005-04-28T20:00:00.0000000Z;2005-10-27T20:00:00.0000000Z
28;Yakitate!! Japan;69;;tv;pg_13;7.95;released;2004-10-11T20:00:00.0000000Z;2006-03-13T21:00:00.0000000Z
29;Zipang;26;;tv;pg_13;7.51;released;2004-10-07T20:00:00.0000000Z;2005-03-31T20:00:00.0000000Z
30;Neon Genesis Evangelion;26;evangelion;tv;pg_13;8.32;released;1995-10-03T21:00:00.0000000Z;1996-03-26T21:00:00.0000000Z
31;Neon Genesis Evangelion: Death & Rebirth;1;evangelion;movie;r;7.45;released;1997-03-14T21:00:00.0000000Z;
32;Neon Genesis Evangelion: The End of Evangelion;1;evangelion;movie;r_plus;8.52;released;1997-07-18T20:00:00.0000000Z;
33;Kenpuu Denki Berserk;25;berserk;tv;r_plus;8.49;released;1997-10-07T20:00:00.0000000Z;1998-03-31T20:00:00.0000000Z
43;Koukaku Kidoutai;1;ghost_in_the_shell;movie;r_plus;8.29;released;1995-11-17T21:00:00.0000000Z;
