Id;Name
1;Spike Spiegel
2;Faye Valentine
3;Jet Black
4;Ein
5;Ichigo Kurosaki
6;Rukia Kuchiki
7;Orihime Inoue
11;Edward Elric
12;Alphonse Elric
13;Sasuke Uchiha
14;Itachi Uchiha
15;Ippo Makunouchi
16;Edward Wong Hau Pepelu Tivrusky IV
17;Naruto Uzumaki
18;Haruhi Fujioka
19;Tamaki Suou
20;Mitsukuni Haninozuka
21;Takashi Morinozuka
22;Hikaru Hitachiin
23;Kyouya Ootori
24;Kaoru Hitachiin
25;Renge Houshakuji
26;Ging Freecss
27;Killua Zoldyck
28;Kurapika
29;Leorio Paladiknight
30;Gon Freecss
31;Hisoka Morow
32;Ovan
33;Haseo
34;Shino
35;Tabby
36;Phyllo
37;Sakisaka
38;Tawaraya
39;Tsukasa
40;Luffy Monkey D.
41;Subaru
42;Train Heartnet
43;Sven Vollfied
44;Eve
45;Rinslet Walker
46;Ban Midou
47;Ginji Amano
48;Kazuki Fuuchouin
49;Shido Fuyuki
50;Hevn
51;Natsumi Mizuki
52;Kuroudo Akabane
53;Himiko Kudou
54;Paul Wang
55;MakubeX
56;Juubei Kakei
57;Illumi Zoldyck
58;Chrollo Lucilfer
59;Zeno Zoldyck
60;Silva Zoldyck
61;Robin Nico
62;Zoro Roronoa
63;Winry Rockbell
64;Franky
65;Pinako Rockbell
66;Scar
67;Izumi Curtis
68;Roy Mustang
69;Maes Hughes
70;Riza Hawkeye
71;L Lawliet
72;Kazuma Azuma
73;Kyousuke Kawachi
74;Tsukino Azusagawa
75;Ryuk
76;Kai Suwabara
77;Shigeru Kanmuri
78;Ken Matsushiro
79;Ryo Kuroyanagi
80;Light Yagami
81;Pierrot Bolneze
82;Yuuichi Kirisaki
83;Yukino Azusagawa
84;Kageto Kinoshita
85;Kakashi Hatake
86;Rei Ayanami
87;Kino
88;Hermes
89;Shinji Ikari
90;Hikaru Shindou
91;Sai Fujiwara no
92;Akari Fujisaki
93;Akira Touya
94;Asuka Langley Souryuu
95;Yuki Mitani
96;Tetsuo Kaga
97;Kimihiro Tsutsui
98;Yoshitaka Waya
99;Heero Yuy
100;Shinichiro Isumi
101;Kousuke Ochi
102;Seiji Ogata
103;Duo Maxwell
104;Shigeo Morishita
105;Trowa Barton
106;Kippei Katakura
107;Yuzuyu Sakashita
108;Quatre Raberba Winner
109;Kokoro Tokunaga
110;Wufei Chang
111;Reiko Katakura
112;Satsuki Katakura
113;Kira Yamato
114;Athrun Zala
115;Cagalli Yula Athha
116;Lacus Clyne
117;Shinn Asuka
118;Rey Za Burrel
119;Stella Loussier
120;Lunamaria Hawke
121;Meyrin Hawke
122;Andrew Waltfeld
123;Dearka Elsman
124;Flay Allster
125;Murrue Ramius
126;Syaoran
127;Sakura
