Id;Name
1;Studio Pierrot
2;Kyoto Animation
3;Gonzo
4;Bones
5;Bee Train
6;Gainax
7;J.C.Staff
8;Artland
10;Production I.G
11;Madhouse
13;Studio 4°C
14;Sunrise
15;Sony Pictures Entertainment
16;TV Tokyo
17;Aniplex
18;Toei Animation
21;Studio Ghibli
22;Nippon Animation
23;Bandai Visual
24;Studio Fantasia
27;Xebec
28;OLM
29;VAP
30;Ajia-Do
31;Geneon Universal Entertainment
32;Manglobe
33;WOWOW
34;Hal Film Maker
35;Seven Arcs
36;Gallop
37;Studio Deen
38;Arms
39;Daume
41;Satelight
42;GDH
43;ufotable
44;Shaft
45;Pink Pineapple
47;Khara
48;AIC
49;Remic
50;KSS
51;Diomedéa
52;Avex Entertainment
53;Dentsu Inc.
54;Mook Animation
55;TV Asahi
56;A-1 Pictures
58;Square Enix
60;Actas
61;Frontier Works
62;Shogakukan Productions
63;Trinet Entertainment
64;Sotsu
65;Tokyo Movie Shinsha
67;OB Planning
68;Mushi Production
69;Front Line
70;Nomad
71;Mellow Head
72;Artmic
73;TMS Entertainment
75;Imagin
76;Yomiuri Telecasting Corporation
77;APPP
78;Picture Magic
79;Genco
80;Trans Arts
81;Radix
83;AIC Spirits
84;Studio Rikka
85;Konami
86;Group TAC
88;AIC ASTA
89;BeSTACK
91;feel.
92;Starchild Records
93;Studio Flag
94;Telecom Animation Film
95;Doga Kobo
96;Yumeta Company
97;ADV Films
99;Kitty Films
101;Studio Hibari
102;FUNimation Entertainment
103;Tatsunoko Production
104;Lantis
107;Plum
108;Media Factory
109;Shochiku
110;Triangle Staff
111;NHK
112;Brain's Base
113;Kadokawa Shoten
114;Studio Matrix
116;Broccoli
117;Studio Izena
118;SynergySP
119;Viz Media
120;TNK
122;Tokyo Kids
123;Victor Entertainment
126;Studio Comet
127;Yomiko Advertising
131;G&G Entertainment
132;P.A. Works
136;Vega Entertainment
137;PPM
139;Nihon Ad Systems
140;Animax
141;Toei Video
142;Asatsu DK
143;Mainichi Broadcasting
144;Pony Canyon
145;TBS
146;CBC
148;Hakunensha
149;SME Visual Works
150;Sanrio
152;Green Bunny
154;E&G Films
155;animate Film
158;KIDS STATION
159;Kodansha
160;Rondo Robe
161;Sogo Vision
